#GRM155R61E105KE11,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,7.523280979560556E-7,
0.125,7.620044890980774E-7,
0.25,7.696859201722996E-7,
0.375,7.754772707413143E-7,
0.5,7.794904214327426E-7,
0.625,7.818416747757599E-7,
0.75,7.826495313512753E-7,
0.875,7.82032804664258E-7,
1.0,7.801090518411732E-7,
1.125,7.769932933305694E-7,
1.25,7.72796992750231E-7,
1.375,7.676272674464812E-7,
1.5,7.615863008381207E-7,
1.625,7.547709288982731E-7,
1.75,7.47272374928609E-7,
1.875,7.391761089001379E-7,
2.0,7.305618099165491E-7,
2.125,7.215034126815108E-7,
2.25,7.120692211342081E-7,
2.375,7.023220745972293E-7,
2.5,6.923195538178588E-7,
2.625,6.821142161543224E-7,
2.75,6.717538508509332E-7,
2.875,6.612817468580542E-7,
3.0,6.507369669884449E-7,
3.125,6.401546233692397E-7,
3.25,6.295661501601867E-7,
3.375,6.189995703764839E-7,
3.5,6.084797543927874E-7,
3.625,5.98028668327111E-7,
3.75,5.87665611023095E-7,
3.875,5.774074387790973E-7,
4.0,5.672687773245098E-7,
4.125,5.572622208285124E-7,
4.25,5.473985179537228E-7,
4.375,5.376867451458209E-7,
4.5,5.281344674875627E-7,
4.625,5.187478875487348E-7,
4.75,5.095319827381445E-7,
4.875,5.004906317148322E-7,
5.0,4.916267304476918E-7,
5.125,4.829422985293128E-7,
5.25,4.7443857635408945E-7,
5.375,4.661161137653522E-7,
5.5,4.579748507634657E-7,
5.625,4.500141908484757E-7,
5.75,4.422330675483555E-7,
5.875,4.3463000465862305E-7,
6.0,4.2720317069182144E-7,
6.125,4.1995042800721695E-7,
6.25,4.1286937706234335E-7,
6.375,4.059573961995204E-7,
6.5,3.9921167735245584E-7,
6.625,3.92629258030744E-7,
6.75,3.8620704991384813E-7,
6.875,3.799418643610817E-7,
7.0,3.738304351202078E-7,
7.125,3.678694384948701E-7,
7.25,3.6205551120974343E-7,
7.375,3.563852661926381E-7,
7.5,3.508553064741419E-7,
7.625,3.454622373882982E-7,
7.75,3.402026772417265E-7,
7.875,3.350732666039749E-7,
8.0,3.3007067635813565E-7,
8.125,3.2519161463822534E-7,
8.25,3.2043283276835827E-7,
8.375,3.1579113030801185E-7,
8.5,3.1126335929806666E-7,
8.625,3.068464277933497E-7,
8.75,3.0253730275931704E-7,
8.875,2.9833301240302115E-7,
9.0,2.942306480018305E-7,
9.125,2.9022736528711934E-7,
9.25,2.8632038543453034E-7,
9.375,2.825069957073771E-7,
9.5,2.787845497950233E-7,
9.625,2.7515046788392454E-7,
9.75,2.716022364951502E-7,
9.875,2.681374081187773E-7,
10.0,2.6475360067237107E-7,
10.125,2.614484968079663E-7,
10.25,2.582198430893411E-7,
10.375,2.5506544905909757E-7,
10.5,2.519831862129427E-7,
10.625,2.489709868966661E-7,
10.75,2.460268431395921E-7,
10.875,2.431488054367769E-7,
11.0,2.4033498149078756E-7,
11.125,2.3758353492268143E-7,
11.25,2.3489268396065275E-7,
11.375,2.3226070011383394E-7,
11.5,2.296859068377882E-7,
11.625,2.271666781974443E-7,
11.75,2.247014375325088E-7,
11.875,2.2228865612964788E-7,
12.0,2.1992685190528157E-7,
12.125,2.1761458810217236E-7,
12.25,2.1535047200260934E-7,
12.375,2.1313315366053448E-7,
12.5,2.1096132465458647E-7,
12.625,2.0883371686371852E-7,
12.75,2.0674910126674062E-7,
12.875,2.0470628676685917E-7,
13.0,2.0270411904211614E-7,
13.125,2.0074147942232743E-7,
13.25,1.988172837930297E-7,
13.375,1.9693048152674978E-7,
13.5,1.950800544417399E-7,
13.625,1.9326501578827489E-7,
13.75,1.9148440926241822E-7,
13.875,1.897373080471386E-7,
14.0,1.8802281388053326E-7,
14.125,1.8634005615087492E-7,
14.25,1.8468819101812272E-7,
14.375,1.8306640056149518E-7,
14.5,1.814738919526705E-7,
14.625,1.7990989665411452E-7,
14.75,1.783736696420589E-7,
14.875,1.768644886535667E-7,
15.0,1.753816534571657E-7,
15.125,1.7392448514648164E-7,
15.25,1.724923254562752E-7,
15.375,1.7108453610035986E-7,
15.5,1.6970049813075412E-7,
15.625,1.6833961131755797E-7,
15.75,1.670012935489058E-7,
15.875,1.6568498025047058E-7,
16.0,1.643901238239319E-7,
16.125,1.631161931038415E-7,
16.25,1.6186267283232758E-7,
16.375,1.6062906315109413E-7,
16.5,1.5941487911020183E-7,
16.625,1.5821965019304762E-7,
16.75,1.5704291985709462E-7,
16.875,1.5588424508978545E-7,
17.0,1.5474319597920774E-7,
17.125,1.5361935529896725E-7,
17.25,1.525123181068625E-7,
17.375,1.5142169135685824E-7,
17.5,1.5034709352393894E-7,
17.625,1.492881542414134E-7,
17.75,1.482445139502326E-7,
17.875,1.472158235599422E-7,
18.0,1.4620174412085344E-7,
18.125,1.4520194650706375E-7,
18.25,1.4421611110995637E-7,
18.375,1.4324392754181154E-7,
18.5,1.4228509434920318E-7,
18.625,1.413393187358282E-7,
18.75,1.4040631629445028E-7,
18.875,1.3948581074763994E-7,
19.0,1.3857753369703404E-7,
19.125,1.3768122438077357E-7,
19.25,1.3679662943889397E-7,
19.375,1.3592350268634411E-7,
19.5,1.3506160489341273E-7,
19.625,1.3421070357327173E-7,
19.75,1.3337057277642933E-7,
19.875,1.3254099289180782E-7,
20.0,1.3172175045427532E-7,
20.125,1.3091263795835998E-7,
20.25,1.3011345367795934E-7,
20.375,1.2932400149184506E-7,
20.5,1.2854409071474035E-7,
20.625,1.277735359338029E-7,
20.75,1.2701215685032953E-7,
20.875,1.2625977812647934E-7,
21.0,1.2551622923687396E-7,
21.125,1.2478134432489382E-7,
21.25,1.2405496206351742E-7,
21.375,1.23336925520544E-7,
21.5,1.226270820280658E-7,
21.625,1.219252830560258E-7,
21.75,1.212313840897466E-7,
21.875,1.2054524451127495E-7,
22.0,1.1986672748444756E-7,
22.125,1.1919569984350071E-7,
22.25,1.1853203198517622E-7,
22.375,1.1787559776413838E-7,
22.5,1.1722627439164545E-7,
22.625,1.1658394233734287E-7,
22.75,1.1594848523406747E-7,
22.875,1.1531978978560111E-7,
23.0,1.1469774567723296E-7,
23.125,1.1408224548907086E-7,
23.25,1.1347318461199207E-7,
23.375,1.1287046116617357E-7,
23.5,1.1227397592207776E-7,
23.625,1.1168363222386126E-7,
23.75,1.1109933591509778E-7,
23.875,1.1052099526674682E-7,
24.0,1.0994852090730508E-7,
24.125,1.0938182575505895E-7,
24.25,1.0882082495239129E-7,
24.375,1.0826543580205562E-7,
24.5,1.0771557770535048E-7,
24.625,1.0717117210218451E-7,
24.75,1.0663214241290274E-7,
24.875,1.0609841398186626E-7,
25.0,1.0556991402272362E-7,
