#GRM152R60J225ME05,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.7914277248913388E-6,
0.0315,1.7974783899108827E-6,
0.063,1.8023566907080422E-6,
0.0945,1.8060957583644772E-6,
0.126,1.8087300515527233E-6,
0.1575,1.8102951410584594E-6,
0.189,1.810827505190487E-6,
0.2205,1.8103643364338237E-6,
0.252,1.8089433595749459E-6,
0.2835,1.8066026614150057E-6,
0.315,1.8033805320822711E-6,
0.34650000000000003,1.7993153178682213E-6,
0.378,1.7944452854281785E-6,
0.4095,1.7888084971219108E-6,
0.441,1.7824426972087575E-6,
0.47250000000000003,1.7753852085628944E-6,
0.504,1.767672839534732E-6,
0.5355,1.759341800547388E-6,
0.567,1.7504276299987676E-6,
0.5985,1.740965129012341E-6,
0.63,1.7309883045728295E-6,
0.6615,1.7205303205735717E-6,
0.6930000000000001,1.7096234562980036E-6,
0.7245,1.6982990718602223E-6,
0.756,1.6865875801339779E-6,
0.7875,1.6745184247079255E-6,
0.819,1.6621200634136887E-6,
0.8505,1.6494199569891903E-6,
0.882,1.6364445624494863E-6,
0.9135,1.6232193307591853E-6,
0.9450000000000001,1.6097687084136786E-6,
0.9765,1.596116142553207E-6,
1.008,1.5822840892572099E-6,
1.0395,1.5682940246828286E-6,
1.071,1.5541664587268461E-6,
1.1025,1.5399209509172114E-6,
1.134,1.5255761282508288E-6,
1.1655,1.5111497047201503E-6,
1.197,1.4966585022822987E-6,
1.2285,1.4821184730490472E-6,
1.26,1.4675447224876616E-6,
1.2915,1.4529515334402343E-6,
1.323,1.4383523907898548E-6,
1.3545,1.4237600066057321E-6,
1.3860000000000001,1.4091863456276875E-6,
1.4175,1.3946426509533922E-6,
1.449,1.3801394698072767E-6,
1.4805,1.3656866792885943E-6,
1.512,1.3512935119928297E-6,
1.5435,1.3369685814297266E-6,
1.575,1.322719907154882E-6,
1.6065,1.308554939550239E-6,
1.638,1.294480584196437E-6,
1.6695,1.2805032257831732E-6,
1.701,1.2666287515168043E-6,
1.7325,1.2528625739866583E-6,
1.764,1.2392096534616741E-6,
1.7955,1.2256745195890718E-6,
1.827,1.2122612924787598E-6,
1.8585,1.198973703157248E-6,
1.8900000000000001,1.1858151133771232E-6,
1.9215,1.1727885347800343E-6,
1.953,1.1598966474048592E-6,
1.9845,1.1471418175435226E-6,
2.016,1.1345261149431413E-6,
2.0475,1.1220513293636613E-6,
2.079,1.1097189864906542E-6,
2.1105,1.0975303632200532E-6,
2.142,1.0854865023155015E-6,
2.1735,1.0735882264585958E-6,
2.205,1.061836151696942E-6,
2.2365,1.0502307003091601E-6,
2.268,1.0387721130970637E-6,
2.2995,1.0274604611241955E-6,
2.331,1.0162956569106776E-6,
2.3625,1.0052774651058095E-6,
2.394,9.944055126524301E-7,
2.4255,9.836792984571687E-7,
2.457,9.730982025884502E-7,
2.4885,9.626614950134573E-7,
2.52,9.523683438920639E-7,
2.5515,9.422178234482665E-7,
2.583,9.322089214278234E-7,
2.6145,9.223405461656844E-7,
2.646,9.126115332726324E-7,
2.6775,9.030206519617004E-7,
2.709,8.935666110249746E-7,
2.7405,8.842480644807214E-7,
2.7720000000000002,8.750636168984481E-7,
2.8035,8.660118284244415E-7,
2.835,8.570912195133526E-7,
2.8665,8.483002753826499E-7,
2.898,8.396374502058834E-7,
2.9295,8.311011710509128E-7,
2.961,8.22689841577009E-7,
2.9925,8.144018455089905E-7,
3.024,8.062355498879045E-7,
3.0555,7.98189308118877E-7,
3.087,7.902614628210063E-7,
3.1185,7.824503484927197E-7,
3.15,7.747542939975526E-7,
3.1815,7.671716248853412E-7,
3.213,7.597006655528653E-7,
3.2445,7.52339741253591E-7,
3.276,7.450871799662223E-7,
3.3075,7.379413141274369E-7,
3.339,7.309004822377651E-7,
3.3705,7.239630303467578E-7,
3.402,7.171273134246747E-7,
3.4335,7.103916966250596E-7,
3.465,7.037545564493611E-7,
3.4965,6.972142818125003E-7,
3.528,6.907692750201122E-7,
3.5595,6.844179526608231E-7,
3.591,6.781587464188694E-7,
3.6225,6.719901038107746E-7,
3.654,6.659104888515723E-7,
3.6855,6.599183826556034E-7,
3.717,6.540122839741655E-7,
3.7485,6.48190709675028E-7,
3.7800000000000002,6.424521951656865E-7,
3.8115,6.367952947689301E-7,
3.843,6.312185820458742E-7,
3.8745,6.257206500764219E-7,
3.906,6.203001116974755E-7,
3.9375,6.149555997015002E-7,
3.969,6.096857669979146E-7,
4.0005,6.044892867416265E-7,
4.032,5.993648524278443E-7,
4.0635,5.943111779581378E-7,
4.095,5.893269976793353E-7,
4.1265,5.8441106639631E-7,
4.158,5.795621593604929E-7,
4.1895,5.747790722370581E-7,
4.221,5.700606210510134E-7,
4.2525,5.654056421151719E-7,
4.284,5.60812991940523E-7,
4.3155,5.562815471297248E-7,
4.347,5.518102042569276E-7,
4.3785,5.473978797346542E-7,
4.41,5.430435096647285E-7,
4.4415000000000004,5.387460496829909E-7,
4.473,5.345044747897289E-7,
4.5045,5.303177791726187E-7,
4.536,5.261849760207161E-7,
4.5675,5.221050973298971E-7,
4.599,5.180771937037225E-7,
4.6305,5.141003341448475E-7,
4.662,5.101736058440812E-7,
4.6935,5.062961139623705E-7,
4.725,5.024669814100186E-7,
4.7565,4.986853486207246E-7,
4.788,4.949503733239412E-7,
4.8195,4.912612303126012E-7,
4.851,4.876171112113516E-7,
4.8825,4.840172242396752E-7,
4.914,4.80460793976935E-7,
4.9455,4.769470611217931E-7,
4.977,4.7347528225667535E-7,
5.0085,4.7004472960660645E-7,
5.04,4.6665469080030424E-7,
5.0715,4.6330446863126616E-7,
5.103,4.5999338081936087E-7,
5.1345,4.567207597717268E-7,
5.166,4.5348595234487566E-7,
5.1975,4.5028831960931763E-7,
5.229,4.471272366130897E-7,
5.2605,4.440020921482094E-7,
5.292,4.4091228851784416E-7,
5.3235,4.378572413053217E-7,
5.355,4.3483637914410036E-7,
5.3865,4.3184914349069736E-7,
5.418,4.288949883996491E-7,
5.4495000000000005,4.2597338029840333E-7,
5.481,4.2308379776779297E-7,
5.5125,4.2022573132067643E-7,
5.5440000000000005,4.173986831868036E-7,
5.5755,4.1460216709677187E-7,
5.607,4.118357080698515E-7,
5.6385,4.090988422051707E-7,
5.67,4.0639111647268997E-7,
5.7015,4.0371208850935385E-7,
5.733,4.0106132641638966E-7,
5.7645,3.9843840855893884E-7,
5.796,3.958429233699701E-7,
5.8275,3.9327446915476535E-7,
5.859,3.90732653898695E-7,
5.8905,3.8821709507862463E-7,
5.922,3.857274194758526E-7,
5.9535,3.832632629910914E-7,
5.985,3.8082427046496965E-7,
6.0165,3.78410095497647E-7,
6.048,3.7602040027356144E-7,
6.0795,3.736548553870523E-7,
6.111,3.7131313967307076E-7,
6.1425,3.689949400369382E-7,
6.174,3.666999512911349E-7,
6.2055,3.644278759908721E-7,
6.237,3.6217842427416194E-7,
6.2685,3.5995131370437665E-7,
6.3,3.577462691151628E-7,
