#GRM155R61A475MEAA,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,3.832704426476258E-6,
0.05,3.853407876562087E-6,
0.1,3.871193377765603E-6,
0.15000000000000002,3.886136365661747E-6,
0.2,3.898316463408631E-6,
0.25,3.907816856514696E-6,
0.30000000000000004,3.914723700173342E-6,
0.35000000000000003,3.9191255602320505E-6,
0.4,3.92111288844201E-6,
0.45,3.9207775322595555E-6,
0.5,3.918212279141244E-6,
0.55,3.913510434987193E-6,
0.6000000000000001,3.9067654361403305E-6,
0.65,3.898070494139648E-6,
0.7000000000000001,3.8875182722504726E-6,
0.75,3.875200592651622E-6,
0.8,3.861208173045188E-6,
0.8500000000000001,3.845630391366514E-6,
0.9,3.828555077207562E-6,
0.9500000000000001,3.810068328523196E-6,
1.0,3.7902543521649994E-6,
1.05,3.7691953267782005E-6,
1.1,3.746971286602236E-6,
1.1500000000000001,3.723660024733048E-6,
1.2000000000000002,3.6993370144319983E-6,
1.25,3.6740753471023675E-6,
1.3,3.647945685596921E-6,
1.35,3.62101623156854E-6,
1.4000000000000001,3.5933527056284676E-6,
1.4500000000000002,3.565018339132321E-6,
1.5,3.5360738764726897E-6,
1.55,3.5065775868164244E-6,
1.6,3.4765852842847944E-6,
1.6500000000000001,3.4461503556355247E-6,
1.7000000000000002,3.4153237945650348E-6,
1.75,3.38415424180827E-6,
1.8,3.352688030271005E-6,
1.85,3.32096923448565E-6,
1.9000000000000001,3.2890397237351187E-6,
1.9500000000000002,3.256939218241388E-6,
2.0,3.2247053478654214E-6,
2.0500000000000003,3.192373712811888E-6,
2.1,3.159977945877395E-6,
2.15,3.127549775823755E-6,
2.2,3.0951190914967765E-6,
2.25,3.0627140063501284E-6,
2.3000000000000003,3.030360923068021E-6,
2.35,2.9980845980138553E-6,
2.4000000000000004,2.965908205262463E-6,
2.45,2.933853400001861E-6,
2.5,2.9019403811172327E-6,
2.5500000000000003,2.8701879527933658E-6,
2.6,2.838613584995052E-6,
2.6500000000000004,2.8072334727046987E-6,
2.7,2.7760625938154366E-6,
2.75,2.7451147655953425E-6,
2.8000000000000003,2.714402699653654E-6,
2.85,2.683938055354197E-6,
2.9000000000000004,2.653731491633996E-6,
2.95,2.623792717196196E-6,
3.0,2.5941305390576793E-6,
3.0500000000000003,2.5647529094393354E-6,
3.1,2.5356669709973575E-6,
3.1500000000000004,2.5068791003992906E-6,
3.2,2.4783949502556447E-6,
3.25,2.4502194894242578E-6,
3.3000000000000003,2.4223570417081282E-6,
3.35,2.394811322972772E-6,
3.4000000000000004,2.367585476712207E-6,
3.45,2.3406821080960753E-6,
3.5,2.3141033165324955E-6,
3.5500000000000003,2.287850726783923E-6,
3.6,2.2619255186750276E-6,
3.6500000000000004,2.2363284554317556E-6,
3.7,2.2110599106937076E-6,
3.75,2.1861198942409687E-6,
3.8000000000000003,2.16150807647749E-6,
3.85,2.1372238117142857E-6,
3.9000000000000004,2.1132661602939024E-6,
3.95,2.0896339095987968E-6,
4.0,2.0663255939858993E-6,
4.05,2.0433395136879814E-6,
4.1000000000000005,2.0206737527235534E-6,
4.15,1.9983261958545506E-6,
4.2,1.9762945446319308E-6,
4.25,1.9545763325669865E-6,
4.3,1.933168939466326E-6,
4.3500000000000005,1.9120696049669416E-6,
4.4,1.891275441306934E-6,
4.45,1.87078344536649E-6,
4.5,1.850590510012363E-6,
4.55,1.8306934347785256E-6,
