#GRT188R61A106KE13,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,8.177164338537526E-6,
0.05,8.1951856981083E-6,
0.1,8.207309474030818E-6,
0.15000000000000002,8.213763506936413E-6,
0.2,8.214778664105336E-6,
0.25,8.210587578871744E-6,
0.30000000000000004,8.201423498984782E-6,
0.35000000000000003,8.18751924078796E-6,
0.4,8.169106245461845E-6,
0.45,8.146413733083573E-6,
0.5,8.119667949891117E-6,
0.55,8.089091503864644E-6,
0.6000000000000001,8.054902783566714E-6,
0.65,8.01731545508176E-6,
0.7000000000000001,7.976538031865376E-6,
0.75,7.932773512345089E-6,
0.8,7.88621908018927E-6,
0.8500000000000001,7.837065862281459E-6,
0.9,7.785498739586265E-6,
0.9500000000000001,7.731696206271579E-6,
1.0,7.675830272648228E-6,
1.05,7.61806640770251E-6,
1.1,7.55856351721569E-6,
1.1500000000000001,7.497473953698474E-6,
1.2000000000000002,7.434943554592687E-6,
1.25,7.371111705432803E-6,
1.3,7.306111424879383E-6,
1.35,7.240069468769602E-6,
1.4000000000000001,7.173106450539679E-6,
1.4500000000000002,7.1053369755934266E-6,
1.5,7.036869787385661E-6,
1.55,6.967807923188517E-6,
1.6,6.898248877687924E-6,
1.6500000000000001,6.828284772735286E-6,
1.7000000000000002,6.758002531736899E-6,
1.75,6.687484057324465E-6,
1.8,6.616806411086361E-6,
1.85,6.546041994277067E-6,
1.9000000000000001,6.4752587285431665E-6,
1.9500000000000002,6.4045202358218634E-6,
2.0,6.333886016667818E-6,
2.0500000000000003,6.263411626366631E-6,
2.1,6.1931488482798895E-6,
2.15,6.123145863944404E-6,
2.2,6.053447419527847E-6,
2.25,5.9840949883031345E-6,
2.3000000000000003,5.915126928871293E-6,
2.35,5.846578638909355E-6,
2.4000000000000004,5.778482704274627E-6,
2.45,5.710869043338363E-6,
2.5,5.643765046458781E-6,
2.5500000000000003,5.5771957105403465E-6,
2.6,5.511183768656503E-6,
2.6500000000000004,5.445749814738527E-6,
2.7,5.3809124233559074E-6,
2.75,5.316688264638094E-6,
2.8000000000000003,5.253092214400071E-6,
2.85,5.190137459549487E-6,
2.9000000000000004,5.127835598872063E-6,
2.95,5.066196739292728E-6,
3.0,5.00522958772784E-6,
3.0500000000000003,4.944941538643614E-6,
3.1,4.885338757445882E-6,
3.1500000000000004,4.826426259831434E-6,
3.2,4.768207987227158E-6,
3.25,4.710686878455393E-6,
3.3000000000000003,4.653864937755129E-6,
3.35,4.5977432992977385E-6,
3.4000000000000004,4.542322288326411E-6,
3.45,4.487601479056855E-6,
3.5,4.433579749469662E-6,
3.5500000000000003,4.380255333119681E-6,
3.6,4.327625868095506E-6,
3.6500000000000004,4.275688443249818E-6,
3.7,4.224439641822509E-6,
3.75,4.17387558257537E-6,
3.8000000000000003,4.1239919585525E-6,
3.85,4.074784073580282E-6,
3.9000000000000004,4.026246876611279E-6,
3.95,3.978374994016768E-6,
4.0,3.931162759934813E-6,
4.05,3.8846042447608115E-6,
4.1000000000000005,3.83869328188188E-6,
4.15,3.793423492742554E-6,
4.2,3.74878831032371E-6,
4.25,3.7047810011259874E-6,
4.3,3.661394685728745E-6,
4.3500000000000005,3.618622358003712E-6,
