#GRM188R61E106MA73,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,7.214093250851678E-6,
0.125,7.249365391651338E-6,
0.25,7.26901249882544E-6,
0.375,7.273803490408177E-6,
0.5,7.26456715445997E-6,
0.625,7.242176640909339E-6,
0.75,7.207535148802236E-6,
0.875,7.1615629131842E-6,
1.0,7.1051855495341425E-6,
1.125,7.039323773940952E-6,
1.25,6.9648844840589315E-6,
1.375,6.882753159024511E-6,
1.5,6.793787515533217E-6,
1.625,6.6988123416249755E-6,
1.75,6.598615418837142E-6,
1.875,6.493944436567529E-6,
2.0,6.385504799206952E-6,
2.125,6.273958226164711E-6,
2.25,6.159922046814768E-6,
2.375,6.043969096103508E-6,
2.5,5.926628121607208E-6,
2.625,5.8083846188958365E-6,
2.75,5.689682018620086E-6,
2.875,5.570923155808538E-6,
3.0,5.452471958859337E-6,
3.125,5.33465530274194E-6,
3.25,5.217764977685426E-6,
3.375,5.102059731073063E-6,
3.5,4.987767346267831E-6,
3.625,4.875086727694486E-6,
3.75,4.764189966600427E-6,
3.875,4.655224366477521E-6,
4.0,4.54831441129028E-6,
4.125,4.4435636632590855E-6,
4.25,4.341056580162031E-6,
4.375,4.2408602448764704E-6,
4.5,4.143026002250281E-6,
4.625,4.047591000427487E-6,
4.75,3.954579635441013E-6,
4.875,3.864004899275176E-6,
5.0,3.775869632784166E-6,
5.125,3.6901676857117764E-6,
5.25,3.606884986821587E-6,
5.375,3.5260005277061105E-6,
5.5,3.4474872641668795E-6,
5.625,3.3713129394152E-6,
5.75,3.297440833485201E-6,
5.875,3.225830443282514E-6,
6.0,3.1564380977879414E-6,
6.125,3.089217512804453E-6,
6.25,3.0241202896100808E-6,
6.375,2.9610963616530414E-6,
6.5,2.900094393407298E-6,
6.625,2.8410621351491898E-6,
6.75,2.7839467374017153E-6,
6.875,2.7286950284410416E-6,
7.0,2.6752537581542585E-6,
7.125,2.623569811287617E-6,
7.25,2.5735903929189288E-6,
7.375,2.525263188798737E-6,
7.5,2.478536503016055E-6,
7.625,2.4333593752379243E-6,
7.75,2.389681679612655E-6,
7.875,2.34745420725097E-6,
8.0,2.3066287340345627E-6,
8.125,2.2671580753577127E-6,
8.25,2.2289961292676065E-6,
8.375,2.1920979093307787E-6,
8.5,2.1564195684329504E-6,
8.625,2.1219184146218484E-6,
8.75,2.0885529199658113E-6,
8.875,2.0562827233371676E-6,
9.0,2.025068627919902E-6,
9.125,1.9948725941815014E-6,
9.25,1.965657728929354E-6,
9.375,1.937388271070246E-6,
9.5,1.910029574567213E-6,
9.625,1.8835480890766191E-6,
9.75,1.8579113386611248E-6,
9.875,1.833087898960847E-6,
10.0,1.809047373136192E-6,
10.125,1.7857603668761812E-6,
10.25,1.763198462707848E-6,
10.375,1.7413341938643802E-6,
10.5,1.7201410178579183E-6,
10.625,1.6995932899570588E-6,
10.75,1.6796662366976622E-6,
10.875,1.6603359295724679E-6,
11.0,1.6415792589742425E-6,
11.125,1.6233739085209274E-6,
11.25,1.605698329798559E-6,
11.375,1.5885317176314166E-6,
11.5,1.5718539858869517E-6,
11.625,1.555645743886528E-6,
11.75,1.5398882734540158E-6,
11.875,1.5245635066023117E-6,
12.0,1.5096540039166534E-6,
12.125,1.4951429336057633E-6,
12.25,1.481014051262269E-6,
12.375,1.4672516803086567E-6,
12.5,1.453840693145171E-6,
12.625,1.4407664929860146E-6,
12.75,1.428014996374153E-6,
12.875,1.4155726163762514E-6,
13.0,1.4034262464205704E-6,
13.125,1.3915632447954165E-6,
13.25,1.3799714197587553E-6,
13.375,1.3686390152753127E-6,
13.5,1.3575546973220206E-6,
13.625,1.3467075407837193E-6,
13.75,1.336087016891558E-6,
