#GRT188R61H105KE13,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,7.450631639702153E-7,
0.25,7.470843331303328E-7,
0.5,7.482097189761827E-7,
0.75,7.484350095976684E-7,
1.0,7.47769373532882E-7,
1.25,7.462330042384977E-7,
1.5,7.438549767659191E-7,
1.75,7.406713768295797E-7,
2.0,7.367236712095239E-7,
2.25,7.320572940911437E-7,
2.5,7.26720427649372E-7,
2.75,7.20762957677643E-7,
3.0,7.142355868262453E-7,
3.25,7.071890893581548E-7,
3.5,6.996736924443874E-7,
3.75,6.917385700197902E-7,
4.0,6.834314361679533E-7,
4.25,6.747982259327046E-7,
4.5,6.658828523754134E-7,
4.75,6.567270296127437E-7,
5.0,6.473701524728308E-7,
5.25,6.378492242906169E-7,
5.5,6.281988252166491E-7,
5.75,6.184511142295285E-7,
6.0,6.086358588139691E-7,
6.25,5.98780486988733E-7,
6.5,5.889101570385269E-7,
6.75,5.79047840919231E-7,
7.0,5.692144178664861E-7,
7.25,5.594287752443099E-7,
7.5,5.497079141249896E-7,
7.75,5.400670574962587E-7,
8.0,5.305197593498037E-7,
8.25,5.210780132196188E-7,
8.5,5.117523590132314E-7,
8.75,5.025519872166464E-7,
9.0,4.934848397586639E-7,
9.25,4.84557706995368E-7,
9.5,4.75776320424051E-7,
9.75,4.6714544086102167E-7,
10.0,4.586689419221092E-7,
10.25,4.5034988873098353E-7,
10.5,4.4219061185099723E-7,
10.75,4.341927764931637E-7,
11.0,4.2635744709817585E-7,
11.25,4.186851474255604E-7,
11.5,4.111759163098039E-7,
11.75,4.0382935926289053E-7,
12.0,3.9664469611621067E-7,
12.25,3.896208049034494E-7,
12.5,3.8275626219046204E-7,
12.75,3.7604938005938147E-7,
13.0,3.694982399525429E-7,
13.25,3.631007235782069E-7,
13.5,3.568545410746451E-7,
13.75,3.507572566225709E-7,
14.0,3.448063116883228E-7,
14.25,3.389990460720398E-7,
14.5,3.333327169263856E-7,
14.75,3.278045159026179E-7,
15.0,3.224115845717755E-7,
15.25,3.1715102825993427E-7,
15.5,3.120199284277298E-7,
15.75,3.0701535371580185E-7,
16.0,3.0213436976959136E-7,
16.25,2.973740479490139E-7,
16.5,2.9273147302091626E-7,
16.75,2.8820374992504494E-7,
17.0,2.837880096974459E-7,
17.25,2.7948141462873303E-7,
17.5,2.752811627286341E-7,
17.75,2.711844915625357E-7,
18.0,2.6718868152043296E-7,
18.25,2.632910585737081E-7,
18.5,2.5948899657061064E-7,
18.75,2.557799191169155E-7,
19.0,2.521613010843862E-7,
19.25,2.4863066978586855E-7,
19.5,2.451856058525067E-7,
19.75,2.418237438454087E-7,
20.0,2.385427726311919E-7,
20.25,2.353404355481624E-7,
20.5,2.3221453038744842E-7,
20.75,2.2916290921113706E-7,
21.0,2.2618347802739968E-7,
21.25,2.2327419634071057E-7,
21.5,2.2043307659350848E-7,
21.75,2.1765818351407256E-7,
22.0,2.1494763338394134E-7,
22.25,2.1229959323684896E-7,
22.5,2.097122800000009E-7,
22.75,2.071839595873337E-7,
23.0,2.0471294595347728E-7,
23.25,2.0229760011615078E-7,
23.5,1.9993632915396158E-7,
23.75,1.9762758518577686E-7,
24.0,1.9536986433715746E-7,
24.25,1.931617056987382E-7,
24.5,1.9100169028087532E-7,
24.75,1.8888843996835228E-7,
25.0,1.8682061647848863E-7,
25.25,1.8479692032559132E-7,
25.5,1.8281608979426837E-7,
25.75,1.8087689992385681E-7,
26.0,1.7897816150583392E-7,
26.25,1.771187200958591E-7,
26.5,1.7529745504183175E-7,
26.75,1.7351327852911951E-7,
27.0,1.7176513464392E-7,
27.25,1.7005199845555953E-7,
27.5,1.683728751183185E-7,
27.75,1.6672679899331547E-7,
28.0,1.651128327907777E-7,
28.25,1.6353006673295385E-7,
28.5,1.6197761773782754E-7,
28.75,1.604546286236839E-7,
29.0,1.58960267334517E-7,
29.25,1.574937261862104E-7,
29.5,1.5605422113331881E-7,
29.75,1.5464099105629456E-7,
30.0,1.532532970689041E-7,
30.25,1.5189042184555597E-7,
30.5,1.5055166896825291E-7,
30.75,1.4923636229281647E-7,
31.0,1.479438453340324E-7,
31.25,1.4667348066935172E-7,
31.5,1.4542464936073676E-7,
31.75,1.4419675039426646E-7,
32.0,1.4298920013708066E-7,
32.25,1.4180143181124632E-7,
32.5,1.4063289498411453E-7,
32.75,1.394830550747573E-7,
33.0,1.3835139287603883E-7,
33.25,1.3723740409191145E-7,
33.5,1.3614059888949704E-7,
33.75,1.3506050146554324E-7,
34.0,1.3399664962683326E-7,
34.25,1.3294859438413867E-7,
34.5,1.3191589955930145E-7,
34.75,1.3089814140506502E-7,
35.0,1.298949082372364E-7,
35.25,1.289058000788167E-7,
35.5,1.2793042831570903E-7,
35.75,1.2696841536363606E-7,
36.0,1.2601939434591768E-7,
36.25,1.2508300878174432E-7,
36.5,1.2415891228460158E-7,
36.75,1.2324676827052996E-7,
37.0,1.2234624967586493E-7,
37.25,1.2145703868416805E-7,
37.5,1.2057882646202234E-7,
37.75,1.1971131290340275E-7,
38.0,1.188542063823227E-7,
38.25,1.1800722351348225E-7,
38.5,1.1717008892064125E-7,
38.75,1.1634253501244152E-7,
39.0,1.1552430176544458E-7,
39.25,1.1471513651411199E-7,
39.5,1.1391479374749542E-7,
39.75,1.1312303491241044E-7,
40.0,1.1233962822285001E-7,
40.25,1.1156434847544327E-7,
40.5,1.1079697687072381E-7,
40.75,1.1003730084001607E-7,
41.0,1.09285113877742E-7,
41.25,1.085402153789514E-7,
41.5,1.0780241048189701E-7,
41.75,1.0707150991547067E-7,
42.0,1.0634732985133635E-7,
42.25,1.0562969176057846E-7,
42.5,1.0491842227472756E-7,
42.75,1.0421335305098418E-7,
43.0,1.0351432064151391E-7,
43.25,1.0282116636665205E-7,
43.5,1.0213373619188542E-7,
43.75,1.0145188060848153E-7,
44.0,1.0077545451762761E-7,
44.25,1.0010431711795833E-7,
44.5,9.943833179636017E-8,
44.75,9.877736602191248E-8,
45.0,9.81212912428881E-8,
45.25,9.746998278667232E-8,
45.5,9.682331976251782E-8,
45.75,9.618118496703013E-8,
46.0,9.554346479228291E-8,
46.25,9.491004913647366E-8,
46.5,9.428083131703235E-8,
46.75,9.365570798609337E-8,
47.0,9.303457904824608E-8,
47.25,9.24173475804955E-8,
47.5,9.180391975433704E-8,
47.75,9.119420475989389E-8,
48.0,9.058811473201979E-8,
48.25,8.998556467832882E-8,
48.5,8.938647240905595E-8,
48.75,8.879075846870829E-8,
49.0,8.819834606943507E-8,
49.25,8.76091610260538E-8,
49.5,8.702313169268915E-8,
49.75,8.644018890095496E-8,
50.0,8.586026589964141E-8,
