#GRM188R61C225KE15,,
#To be Discontinued,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.8910706581534623E-6,
0.08,1.8954616530066867E-6,
0.16,1.8985245118087653E-6,
0.24,1.9003042359682544E-6,
0.32,1.9008474101616485E-6,
0.4,1.9002018741072675E-6,
0.48,1.8984164138986006E-6,
0.56,1.8955404735117585E-6,
0.64,1.8916238868262009E-6,
0.72,1.8867166302577653E-6,
0.8,1.880868595884677E-6,
0.88,1.8741293847654125E-6,
0.96,1.8665481199860622E-6,
1.04,1.8581732788421654E-6,
1.12,1.8490525434513876E-6,
1.2,1.839232669003139E-6,
1.28,1.8287593687877745E-6,
1.36,1.8176772150929928E-6,
1.44,1.80602955502639E-6,
1.52,1.793858440300849E-6,
1.6,1.7812045700114911E-6,
1.68,1.768107245443421E-6,
1.76,1.7546043359532522E-6,
1.84,1.7407322549966857E-6,
1.92,1.7265259453969953E-6,
2.0,1.7120188729850008E-6,
2.08,1.697243027775104E-6,
2.16,1.682228931883689E-6,
2.24,1.6670056534395162E-6,
2.32,1.6516008257726805E-6,
2.4,1.6360406712249266E-6,
2.48,1.6203500289551118E-6,
2.56,1.6045523861670698E-6,
2.64,1.5886699122272567E-6,
2.72,1.5727234951824934E-6,
2.8000000000000003,1.5567327802262033E-6,
2.88,1.5407162097087925E-6,
2.96,1.5246910643135351E-6,
3.04,1.5086735050677408E-6,
3.12,1.492678615884108E-6,
3.2,1.476720446360733E-6,
3.2800000000000002,1.460812054602712E-6,
3.36,1.4449655498506987E-6,
3.44,1.4291921347288942E-6,
3.52,1.4135021469533689E-6,
3.6,1.3979051003542595E-6,
3.68,1.3824097250998367E-6,
3.7600000000000002,1.3670240070109883E-6,
3.84,1.3517552258912807E-6,
3.92,1.3366099927948577E-6,
4.0,1.3215942861838434E-6,
4.08,1.3067134869254715E-6,
4.16,1.2919724121034079E-6,
4.24,1.2773753476194922E-6,
4.32,1.2629260795677214E-6,
4.4,1.2486279243868504E-6,
4.48,1.2344837577830951E-6,
4.5600000000000005,1.2204960424363124E-6,
4.64,1.206666854500146E-6,
4.72,1.1929979089195175E-6,
4.8,1.1794905835770913E-6,
4.88,1.1661459423037532E-6,
4.96,1.1529647567753452E-6,
5.04,1.1399475273231935E-6,
5.12,1.127094502698756E-6,
5.2,1.114405698811376E-6,
5.28,1.1018809164888854E-6,
5.36,1.0895197582798101E-6,
5.44,1.077321644345396E-6,
5.5200000000000005,1.0652858274685642E-6,
5.6000000000000005,1.0534114072150313E-6,
5.68,1.041697343287068E-6,
5.76,1.030142468098035E-6,
5.84,1.0187454986047093E-6,
5.92,1.0075050474293283E-6,
6.0,9.964196333079141E-7,
6.08,9.85487690889124E-7,
6.16,9.747075799220945E-7,
6.24,9.640775938593966E-7,
6.32,9.535959679034919E-7,
6.4,9.432608865301395E-7,
6.48,9.330704905065043E-7,
6.5600000000000005,9.230228834406255E-7,
6.640000000000001,9.131161378785355E-7,
6.72,9.033483009803338E-7,
6.8,8.93717399791867E-7,
6.88,8.842214461385576E-7,
6.96,8.748584411625037E-7,
7.04,8.656263795181961E-7,
7.12,8.565232532545983E-7,
7.2,8.475470553906961E-7,
7.28,8.386957832160803E-7,
7.36,8.299674413179073E-7,
7.44,8.213600443622885E-7,
7.5200000000000005,8.128716196413927E-7,
7.6000000000000005,8.045002093936515E-7,
7.68,7.962438729243204E-7,
7.76,7.881006885261809E-7,
7.84,7.800687552194639E-7,
7.92,7.72146194320109E-7,
8.0,7.643311508504747E-7,
8.08,7.566217947971834E-7,
8.16,7.490163222309834E-7,
8.24,7.415129562945363E-7,
8.32,7.34109948068908E-7,
8.4,7.268055773260558E-7,
8.48,7.195981531738616E-7,
8.56,7.124860146032051E-7,
8.64,7.054675309427644E-7,
8.72,6.985411022275124E-7,
8.8,6.917051594881792E-7,
8.88,6.849581649654909E-7,
8.96,6.782986122585032E-7,
9.040000000000001,6.717250264062585E-7,
9.120000000000001,6.652359639131339E-7,
9.200000000000001,6.588300127182438E-7,
9.28,6.525057921161575E-7,
9.36,6.462619526308293E-7,
9.44,6.400971758465713E-7,
9.52,6.340101742023601E-7,
9.6,6.27999690747619E-7,
9.68,6.220644988676043E-7,
9.76,6.162034019788729E-7,
9.84,6.104152331974083E-7,
9.92,6.046988549818381E-7,
10.0,5.990531587559309E-7,
10.08,5.934770645119598E-7,
10.16,5.879695203932171E-7,
10.24,5.825295022661713E-7,
10.32,5.771560132723867E-7,
10.4,5.718480833751801E-7,
10.48,5.666047688909052E-7,
10.56,5.614251520128538E-7,
10.64,5.563083403289546E-7,
10.72,5.512534663323681E-7,
10.8,5.462596869273099E-7,
10.88,5.413261829298784E-7,
10.96,5.364521585708636E-7,
11.040000000000001,5.316368409906114E-7,
11.120000000000001,5.26879479739357E-7,
11.200000000000001,5.2217934627241E-7,
11.28,5.175357334530941E-7,
11.36,5.129479550506111E-7,
11.44,5.08415345245396E-7,
11.52,5.039372581369127E-7,
11.6,4.9951306725456E-7,
11.68,4.95142165073747E-7,
11.76,4.90823962537906E-7,
11.84,4.865578885846171E-7,
11.92,4.823433896794556E-7,
12.0,4.78179929356047E-7,
12.08,4.740669877635315E-7,
12.16,4.700040612200995E-7,
12.24,4.6599066177586653E-7,
12.32,4.6202631678427235E-7,
12.4,4.5811056847932076E-7,
12.48,4.542429735653199E-7,
12.56,4.5042310281271886E-7,
12.64,4.466505406629507E-7,
12.72,4.429248848466245E-7,
12.8,4.392457460058943E-7,
12.88,4.3561274733091246E-7,
12.96,4.3202552420458244E-7,
13.040000000000001,4.2848372385704285E-7,
13.120000000000001,4.2498700503188866E-7,
13.200000000000001,4.215350376601552E-7,
13.280000000000001,4.181275025489598E-7,
13.36,4.1476409107529515E-7,
13.44,4.1144450489588236E-7,
13.52,4.0816845566311207E-7,
13.6,4.049356647556341E-7,
13.68,4.017458630162658E-7,
13.76,3.9859879050370046E-7,
13.84,3.954941962529053E-7,
13.92,3.9243183804691607E-7,
14.0,3.894114822012383E-7,
14.08,3.864329033561187E-7,
14.16,3.8349588428227835E-7,
14.24,3.8060021569629035E-7,
14.32,3.7774569608665677E-7,
14.4,3.7493213155246277E-7,
14.48,3.7215933564993663E-7,
14.56,3.6942712925257983E-7,
14.64,3.6673534042050056E-7,
14.72,3.640838042810298E-7,
14.8,3.6147236292068936E-7,
14.88,3.589008652859441E-7,
14.96,3.5636916709740604E-7,
15.040000000000001,3.538771307719856E-7,
15.120000000000001,3.5142462535800176E-7,
15.200000000000001,3.4901152647821617E-7,
15.280000000000001,3.466377162870088E-7,
15.36,3.443030834344229E-7,
15.44,3.4200752304336E-7,
15.52,3.3975093669644956E-7,
15.6,3.375332324324847E-7,
15.68,3.3535432475505084E-7,
15.76,3.3321413465104315E-7,
15.84,3.3111258961897925E-7,
15.92,3.290496237076238E-7,
16.0,3.2702517756825255E-7,
