#GRM188R61C475KE11,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,3.620455205039254E-6,
0.08,3.652483825422112E-6,
0.16,3.680083790708981E-6,
0.24,3.703399273440895E-6,
0.32,3.7225837173852758E-6,
0.4,3.7377979189115132E-6,
0.48,3.7492082625870584E-6,
0.56,3.7569851108213934E-6,
0.64,3.761301345181748E-6,
0.72,3.7623310552233512E-6,
0.8,3.7602483692744273E-6,
0.88,3.755226420547509E-6,
0.96,3.747436441171668E-6,
1.04,3.7370469762144007E-6,
1.12,3.7242232094497326E-6,
1.2,3.7091263924959084E-6,
1.28,3.6919133689612324E-6,
1.36,3.672736185371399E-6,
1.44,3.6517417808820773E-6,
1.52,3.629071748084896E-6,
1.6,3.6048621575739756E-6,
1.68,3.579243439339092E-6,
1.76,3.5523403144749722E-6,
1.84,3.5242717711353724E-6,
1.92,3.4951510791033504E-6,
2.0,3.465085837789997E-6,
2.08,3.434178052906424E-6,
2.16,3.4025242374718496E-6,
2.24,3.3702155332231913E-6,
2.32,3.3373378488733184E-6,
2.4,3.3039720120266482E-6,
2.48,3.2701939318987703E-6,
2.56,3.236074770303303E-6,
2.64,3.2016811186610894E-6,
2.72,3.167075179057265E-6,
2.8000000000000003,3.1323149476193426E-6,
2.88,3.0974543987157436E-6,
2.96,3.0625436686805502E-6,
3.04,3.0276292379560267E-6,
3.12,2.9927541107135432E-6,
3.2,2.957957991164022E-6,
3.2800000000000002,2.9232774559048985E-6,
3.36,2.8887461217701845E-6,
3.44,2.854394808758255E-6,
3.52,2.8202516977053264E-6,
3.6,2.7863424824562654E-6,
3.68,2.7526905163568573E-6,
3.7600000000000002,2.719316952954579E-6,
3.84,2.6862408808500643E-6,
3.92,2.6534794526881627E-6,
4.0,2.6210480083177187E-6,
4.08,2.5889601921830486E-6,
4.16,2.5572280650389376E-6,
4.24,2.5258622101042246E-6,
4.32,2.4948718337881276E-6,
4.4,2.4642648611400507E-6,
4.48,2.434048026184049E-6,
4.5600000000000005,2.404226957309926E-6,
4.64,2.3748062578985718E-6,
4.72,2.345789582364156E-6,
4.8,2.317179707797996E-6,
4.88,2.288978601400123E-6,
4.96,2.26118748388396E-6,
5.04,2.233806889037517E-6,
5.12,2.2068367196232643E-6,
5.2,2.1802762997928917E-6,
5.28,2.1541244241921726E-6,
5.36,2.128379403923689E-6,
5.44,2.103039109532197E-6,
5.5200000000000005,2.0781010111707945E-6,
5.6000000000000005,2.0535622161008336E-6,
5.68,2.0294195036732477E-6,
5.76,2.0056693579321037E-6,
5.84,1.9823079979764356E-6,
5.92,1.959331406209214E-6,
6.0,1.936735354598237E-6,
6.08,1.9145154290659445E-6,
6.16,1.8926670521210268E-6,
6.24,1.8711855038387566E-6,
6.32,1.8500659412909534E-6,
6.4,1.8293034165224911E-6,
6.48,1.8088928931647755E-6,
6.5600000000000005,1.7888292617731684E-6,
6.640000000000001,1.769107353969383E-6,
6.72,1.7497219554664385E-6,
6.8,1.7306678180484513E-6,
6.88,1.7119396705742023E-6,
6.96,1.6935322290693073E-6,
7.04,1.675440205967266E-6,
7.12,1.6576583185575978E-6,
7.2,1.6401812966941085E-6,
7.28,1.623003889814817E-6,
7.36,1.606120873320259E-6,
7.44,1.5895270543557876E-6,
7.5200000000000005,1.573217277038969E-6,
7.6000000000000005,1.5571864271719457E-6,
7.68,1.5414294364753903E-6,
7.76,1.5259412863786842E-6,
7.84,1.5107170113985425E-6,
7.92,1.4957517021364274E-6,
8.0,1.4810405079229326E-6,
8.08,1.4665786391358467E-6,
8.16,1.452361369216386E-6,
8.24,1.4383840364067473E-6,
8.32,1.4246420452306988E-6,
8.4,1.4111308677370904E-6,
8.48,1.3978460445253353E-6,
8.56,1.3847831855702172E-6,
8.64,1.3719379708622127E-6,
8.72,1.359306150879137E-6,
8.8,1.34688354690227E-6,
8.88,1.3346660511910912E-6,
8.96,1.32264962702852E-6,
9.040000000000001,1.310830308647751E-6,
9.120000000000001,1.2992042010519797E-6,
9.200000000000001,1.2877674797360694E-6,
9.28,1.2765163903200628E-6,
9.36,1.2654472481023718E-6,
9.44,1.2545564375409678E-6,
9.52,1.2438404116696363E-6,
9.6,1.2332956914561404E-6,
9.68,1.2229188651084036E-6,
9.76,1.212706587334794E-6,
9.84,1.202655578563521E-6,
9.92,1.1927626241263396E-6,
10.0,1.1830245734108845E-6,
10.08,1.1734383389862365E-6,
10.16,1.1640008957050469E-6,
10.24,1.1547092797863094E-6,
10.32,1.1455605878817365E-6,
10.4,1.1365519761289272E-6,
10.48,1.127680659193967E-6,
10.56,1.1189439093061655E-6,
10.64,1.1103390552869905E-6,
10.72,1.1018634815757588E-6,
10.8,1.0935146272534397E-6,
10.88,1.0852899850669884E-6,
10.96,1.0771871004552277E-6,
11.040000000000001,1.0692035705781522E-6,
11.120000000000001,1.0613370433508024E-6,
11.200000000000001,1.0535852164828572E-6,
11.28,1.0459458365252312E-6,
11.36,1.03841669792444E-6,
11.44,1.030995642085604E-6,
11.52,1.0236805564452192E-6,
11.6,1.0164693735536352E-6,
11.68,1.0093600701688683E-6,
11.76,1.0023506663612624E-6,
11.84,9.95439224630245E-7,
11.92,9.886238490331111E-7,
12.0,9.819026843264409E-7,
12.08,9.752739151202886E-7,
12.16,9.687357650454742E-7,
12.24,9.622864959341614E-7,
12.32,9.559244070138619E-7,
12.4,9.496478341150556E-7,
12.48,9.434551488922562E-7,
12.56,9.37344758059087E-7,
12.64,9.313151026368044E-7,
12.72,9.253646572167435E-7,
12.8,9.194919292363239E-7,
12.88,9.136954582688067E-7,
12.96,9.07973815326665E-7,
13.040000000000001,9.023256021783442E-7,
13.120000000000001,8.967494506785647E-7,
13.200000000000001,8.912440221118657E-7,
13.280000000000001,8.858080065493733E-7,
13.36,8.804401222185184E-7,
13.44,8.75139114885681E-7,
13.52,8.699037572517849E-7,
13.6,8.647328483600288E-7,
13.68,8.596252130164453E-7,
13.76,8.545797012225101E-7,
13.84,8.495951876197354E-7,
13.92,8.446705709462247E-7,
14.0,8.398047735049942E-7,
14.08,8.349967406434487E-7,
14.16,8.302454402445198E-7,
14.24,8.255498622287327E-7,
14.32,8.209090180670857E-7,
14.4,8.163219403047583E-7,
14.48,8.117876820952774E-7,
14.56,8.073053167450237E-7,
14.64,8.028739372676269E-7,
14.72,7.984926559487051E-7,
14.8,7.941606039198405E-7,
14.88,7.898769307423017E-7,
14.96,7.856408040002123E-7,
15.040000000000001,7.814514089025558E-7,
15.120000000000001,7.773079478943526E-7,
15.200000000000001,7.732096402764576E-7,
15.280000000000001,7.691557218340468E-7,
15.36,7.651454444734262E-7,
15.44,7.61178075866931E-7,
15.52,7.5725289910619E-7,
15.6,7.533692123627526E-7,
15.68,7.495263285568851E-7,
15.76,7.457235750336119E-7,
15.84,7.419602932460424E-7,
15.92,7.382358384460765E-7,
16.0,7.345495793820371E-7,
