#GRM21BR61E106KA73,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,5.898316074530596E-6,
0.125,5.9804636159625E-6,
0.25,6.048125698830919E-6,
0.375,6.101791968976657E-6,
0.5,6.142034611920659E-6,
0.625,6.169491785598884E-6,
0.75,6.184852175413879E-6,
0.875,6.18884082624877E-6,
1.0,6.182206344730776E-6,
1.125,6.165709513152516E-6,
1.25,6.140113313777682E-6,
1.375,6.106174328282896E-6,
1.5,6.064635451010077E-6,
1.625,6.016219835651357E-6,
1.75,5.961625982000227E-6,
1.875,5.901523861603252E-6,
2.0,5.836551977509736E-6,
2.125,5.76731525316456E-6,
2.25,5.6943836479108515E-6,
2.375,5.618291401059338E-6,
2.5,5.5395368123266525E-6,
2.625,5.4585824732801925E-6,
2.75,5.375855871784005E-6,
2.875,5.2917502990594085E-6,
3.0,5.206625996545868E-6,
3.125,5.120811487145344E-6,
3.25,5.034605042468926E-6,
3.375,4.948276244308156E-6,
3.5,4.862067604682306E-6,
3.625,4.776196214356647E-6,
3.75,4.690855394772067E-6,
3.875,4.6062163328413015E-6,
4.0,4.5224296820164096E-6,
4.125,4.439627116521007E-6,
4.25,4.357922828699854E-6,
4.375,4.277414961972578E-6,
4.5,4.198186974182205E-6,
4.625,4.120308927913978E-6,
4.75,4.043838705995698E-6,
4.875,3.968823151608932E-6,
5.0,3.895299133552254E-6,
5.125,3.82329453798091E-6,
5.25,3.7528291886395974E-6,
5.375,3.683915698083525E-6,
5.5,3.616560252785566E-6,
5.625,3.5507633352359402E-6,
5.75,3.4865203863770796E-6,
5.875,3.423822411748133E-6,
6.0,3.362656534756719E-6,
6.125,3.3030065005437683E-6,
6.25,3.2448531337007997E-6,
6.375,3.1881747531860695E-6,
6.5,3.1329475475074463E-6,
6.625,3.0791459132541568E-6,
6.75,3.026742759767473E-6,
6.875,2.9757097827426152E-6,
7.0,2.9260177092776936E-6,
7.125,2.8776365167809607E-6,
7.25,2.8305356280036222E-6,
7.375,2.7846840842849678E-6,
7.5,2.7400506989706306E-6,
7.625,2.696604192795394E-6,
7.75,2.6543133129281005E-6,
7.875,2.6131469372032955E-6,
8.0,2.573074164965752E-6,
8.125,2.5340643958450794E-6,
8.25,2.496087397632057E-6,
8.375,2.4591133643838936E-6,
8.5,2.423112965738189E-6,
8.625,2.3880573883442885E-6,
8.75,2.353918370280793E-6,
8.875,2.3206682291611187E-6,
9.0,2.2882798846713846E-6,
9.125,2.2567268761115182E-6,
9.25,2.2259833755603905E-6,
9.375,2.196024197115237E-6,
9.5,2.1668248027233413E-6,
9.625,2.138361304970914E-6,
9.75,2.1106104672667926E-6,
9.875,2.0835497016734397E-6,
10.0,2.0571570647951794E-6,
10.125,2.0314112518789326E-6,
10.25,2.0062915894742042E-6,
10.375,1.981778026806287E-6,
10.5,1.9578511260790217E-6,
10.625,1.934492051882536E-6,
10.75,1.9116825598599695E-6,
10.875,1.8894049847519928E-6,
11.0,1.8676422279882608E-6,
11.125,1.8463777448587827E-6,
11.25,1.8255955314423495E-6,
11.375,1.805280111307238E-6,
11.5,1.7854165221152444E-6,
11.625,1.7659903021264433E-6,
11.75,1.7469874767425549E-6,
11.875,1.72839454505424E-6,
12.0,1.7101984665068888E-6,
12.125,1.6923866476608621E-6,
12.25,1.6749469291192776E-6,
12.375,1.6578675726361983E-6,
12.5,1.641137248408104E-6,
12.625,1.6247450226113729E-6,
12.75,1.6086803451430752E-6,
12.875,1.5929330376297731E-6,
13.0,1.5774932816837741E-6,
13.125,1.562351607426228E-6,
13.25,1.5474988822666127E-6,
13.375,1.5329262999723123E-6,
13.5,1.5186253699903926E-6,
13.625,1.5045879070645965E-6,
13.75,1.4908060211181422E-6,
13.875,1.4772721074007852E-6,
14.0,1.4639788369242717E-6,
14.125,1.4509191471503852E-6,
14.25,1.43808623294985E-6,
14.375,1.425473537830038E-6,
14.5,1.4130747453929429E-6,
14.625,1.4008837710840605E-6,
14.75,1.3888947541494723E-6,
14.875,1.3771020498535587E-6,
15.0,1.3655002219416607E-6,
15.125,1.35408403530377E-6,
15.25,1.342848448892262E-6,
15.375,1.3317886088453908E-6,
15.5,1.3208998418272953E-6,
15.625,1.3101776485717699E-6,
15.75,1.2996176976347777E-6,
15.875,1.2892158193420041E-6,
16.0,1.2789679999272383E-6,
16.125,1.268870375856198E-6,
16.25,1.2589192283339745E-6,
16.375,1.2491109779871076E-6,
16.5,1.239442179713092E-6,
16.625,1.229909517705944E-6,
16.75,1.2205098006192332E-6,
16.875,1.2112399569285618E-6,
17.0,1.2020970303912031E-6,
17.125,1.1930781756965855E-6,
17.25,1.1841806542369735E-6,
17.375,1.1754018300327699E-6,
17.5,1.1667391657659904E-6,
17.625,1.1581902189776002E-6,
17.75,1.149752638364955E-6,
17.875,1.1414241602184383E-6,
18.0,1.133202604964104E-6,
18.125,1.1250858738340258E-6,
18.25,1.1170719456385706E-6,
18.375,1.109158873663304E-6,
18.5,1.101344782646178E-6,
18.625,1.0936278658795749E-6,
18.75,1.0860063824042223E-6,
18.875,1.0784786542987938E-6,
19.0,1.0710430640575647E-6,
19.125,1.0636980520745016E-6,
19.25,1.0564421141969278E-6,
19.375,1.0492737993814532E-6,
19.5,1.0421917074159525E-6,
19.625,1.0351944867350732E-6,
19.75,1.028280832312206E-6,
19.875,1.0214494836186603E-6,
20.0,1.0146992226630552E-6,
20.125,1.0080288721005168E-6,
20.25,1.0014372934138484E-6,
20.375,9.949233851556953E-7,
20.5,9.884860812552167E-7,
20.625,9.821243493936215E-7,
20.75,9.758371894409069E-7,
20.875,9.696236319399159E-7,
21.0,9.634827366613231E-7,
21.125,9.574135912068374E-7,
21.25,9.514153096703955E-7,
21.375,9.454870313388989E-7,
21.5,9.396279194665791E-7,
21.625,9.338371600649367E-7,
21.75,9.281139607851759E-7,
21.875,9.224575497890555E-7,
22.0,9.168671747178992E-7,
22.125,9.113421016652396E-7,
22.25,9.05881614219584E-7,
22.375,9.004850125161468E-7,
22.5,8.951516123606438E-7,
22.625,8.898807443548085E-7,
22.75,8.846717530987537E-7,
22.875,8.795239963833869E-7,
23.0,8.744368444471164E-7,
23.125,8.694096792552207E-7,
23.25,8.644418938092114E-7,
23.375,8.595328914859772E-7,
23.5,8.546820854046881E-7,
23.625,8.498888978257631E-7,
23.75,8.451527595753626E-7,
23.875,8.404731094838785E-7,
24.0,8.3584939386852E-7,
24.125,8.312810660260887E-7,
24.25,8.267675857485305E-7,
24.375,8.223084188707051E-7,
24.5,8.179030368191496E-7,
24.625,8.135509162086092E-7,
24.75,8.092515384319731E-7,
24.875,8.050043892842549E-7,
25.0,8.008089585933145E-7,
