#GRM21BR61H106KE43,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,7.281730555401112E-6,
0.25,7.433972377452318E-6,
0.5,7.533317192864388E-6,
0.75,7.585171377032307E-6,
1.0,7.595126593213442E-6,
1.25,7.5687138939403365E-6,
1.5,7.511230142983906E-6,
1.75,7.427623666108557E-6,
2.0,7.322426542607897E-6,
2.25,7.199722301691876E-6,
2.5,7.063139498074356E-6,
2.75,6.915863404100352E-6,
3.0,6.760659697986374E-6,
3.25,6.599905464564911E-6,
3.5,6.435624027843407E-6,
3.75,6.269521108227163E-6,
4.0,6.103020563337294E-6,
4.25,5.937298559341886E-6,
4.5,5.77331546043122E-6,
4.75,5.611845046472593E-6,
5.0,5.453500898503724E-6,
5.25,5.298759950098344E-6,
5.5,5.1479833073747505E-6,
5.75,5.001434505554332E-6,
6.0,4.859295406483861E-6,
6.25,4.721679957825999E-6,
6.5,4.588646037048942E-6,
6.75,4.4602055966209925E-6,
7.0,4.3363333143819126E-6,
7.25,4.2169739373846125E-6,
7.5,4.102048490309537E-6,
7.75,3.991459502028844E-6,
8.0,3.885095386817547E-6,
8.25,3.782834100558594E-6,
8.5,3.6845461773477512E-6,
8.75,3.590097238304691E-6,
9.0,3.4993500521734105E-6,
9.25,3.412166216419006E-6,
9.5,3.3284075179271375E-6,
9.75,3.247937023994635E-6,
10.0,3.17061994695824E-6,
10.25,3.0963243194370696E-6,
10.5,3.0249215116545293E-6,
10.75,2.9562866175584743E-6,
11.0,2.8902987323793396E-6,
11.25,2.826841140770538E-6,
11.5,2.7658014316871665E-6,
11.75,2.7070715536075877E-6,
12.0,2.6505478215311917E-6,
12.25,2.596130885338331E-6,
12.5,2.54372566752961E-6,
12.75,2.493241277033327E-6,
13.0,2.444590904644068E-6,
13.25,2.397691704704652E-6,
13.5,2.352464666840987E-6,
13.75,2.3088344808824054E-6,
14.0,2.2667293975319757E-6,
14.25,2.2260810868716286E-6,
14.5,2.1868244963873277E-6,
14.75,2.14889770986305E-6,
15.0,2.112241808212575E-6,
15.25,2.076800733084427E-6,
15.5,2.042521153881422E-6,
15.75,2.0093523386755387E-6,
16.0,1.9772460293664734E-6,
16.25,1.9461563213229825E-6,
16.5,1.916039547657385E-6,
16.75,1.8868541682107372E-6,
17.0,1.8585606632682968E-6,
17.25,1.8311214319775142E-6,
17.5,1.8045006954040181E-6,
17.75,1.7786644041322945E-6,
18.0,1.7535801502952308E-6,
18.25,1.729217083900048E-6,
18.5,1.7055458333067415E-6,
18.75,1.6825384297059924E-6,
19.0,1.6601682354389834E-6,
19.25,1.6384098759987831E-6,
19.5,1.6172391755522622E-6,
19.75,1.5966330958224217E-6,
20.0,1.5765696781736085E-6,
20.25,1.557027988744926E-6,
20.5,1.5379880664815914E-6,
20.75,1.51943087391837E-6,
21.0,1.5013382505743372E-6,
21.25,1.4836928688234846E-6,
21.5,1.4664781921110714E-6,
21.75,1.4496784353915883E-6,
22.0,1.433278527669107E-6,
22.25,1.4172640765270134E-6,
22.5,1.401621334539094E-6,
22.75,1.3863371674596359E-6,
23.0,1.3713990240951008E-6,
23.25,1.3567949077651369E-6,
23.5,1.3425133492655411E-6,
23.75,1.328543381250407E-6,
24.0,1.3148745139551928E-6,
24.25,1.3014967121866554E-6,
24.5,1.2884003735097861E-6,
24.75,1.2755763075657249E-6,
25.0,1.2630157164581862E-6,
25.25,1.2507101761497542E-6,
25.5,1.2386516188124504E-6,
25.75,1.226832316080145E-6,
26.0,1.215244863153479E-6,
26.25,1.2038821637108263E-6,
26.5,1.1927374155812928E-6,
26.75,1.1818040971382673E-6,
27.0,1.1710759543748105E-6,
27.25,1.1605469886236546E-6,
27.5,1.1502114448874818E-6,
27.75,1.1400638007466465E-6,
28.0,1.1300987558135165E-6,
