#GRM21BR61E226ME44,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.6856755727767057E-5,
0.125,1.6960994453761617E-5,
0.25,1.7030943282545797E-5,
0.375,1.7068099129808037E-5,
0.5,1.70740935405739E-5,
0.625,1.705066213793206E-5,
0.75,1.6999616156758994E-5,
0.875,1.6922816286545236E-5,
1.0,1.6822148963106562E-5,
1.125,1.669950517553213E-5,
1.25,1.6556761792349487E-5,
1.375,1.639576535914904E-5,
1.5,1.6218318278421217E-5,
1.625,1.6026167250161876E-5,
1.75,1.5820993828083435E-5,
1.875,1.5604406930023943E-5,
2.0,1.5377937131235956E-5,
2.125,1.514303256502909E-5,
2.25,1.4901056255201113E-5,
2.375,1.4653284708597613E-5,
2.5,1.4400907602711517E-5,
2.625,1.4145028411944199E-5,
2.75,1.3886665826467604E-5,
2.875,1.3626755828814654E-5,
3.0,1.3366154305088577E-5,
3.125,1.3105640079720488E-5,
3.25,1.2845918274419342E-5,
3.375,1.2587623903513207E-5,
3.5,1.233132562890156E-5,
3.625,1.2077529608009493E-5,
3.75,1.1826683377884972E-5,
3.875,1.1579179727377184E-5,
4.0,1.1335360517290247E-5,
4.125,1.1095520415737849E-5,
4.25,1.085991052234381E-5,
4.375,1.062874186064459E-5,
4.5,1.0402188723087633E-5,
4.625,1.0180391857358715E-5,
4.75,9.963461486525598E-6,
4.875,9.751480158666364E-6,
5.0,9.544505424341162E-6,
5.125,9.342572342541546E-6,
5.25,9.145695817505883E-6,
5.375,8.953872770343048E-6,
5.5,8.767084150571222E-6,
5.625,8.585296793504034E-6,
5.75,8.408465130174294E-6,
5.875,8.236532756909752E-6,
6.0,8.06943387195113E-6,
6.125,7.907094586699342E-6,
6.25,7.749434119199827E-6,
6.375,7.59636587739912E-6,
6.5,7.447798439619385E-6,
6.625,7.303636439442687E-6,
6.75,7.163781361989224E-6,
6.875,7.028132258261561E-6,
7.0,6.896586384017105E-6,
7.125,6.769039769159788E-6,
7.25,6.645387723379417E-6,
7.375,6.5255252835563405E-6,
7.5,6.409347607847796E-6,
7.625,6.296750321287186E-6,
7.75,6.187629817278415E-6,
7.875,6.081883519104997E-6,
8.0,5.979410105213772E-6,
8.125,5.880109701830444E-6,
8.25,5.783884046134265E-6,
8.375,5.6906366229491625E-6,
8.5,5.600272777742829E-6,
8.625,5.512699808366879E-6,
8.75,5.427827037912447E-6,
8.875,5.34556587072099E-6,
9.0,5.265829833484583E-6,
9.125,5.188534603152889E-6,
9.25,5.113598023249762E-6,
9.375,5.040940110004638E-6,
9.5,4.970483049594129E-6,
9.625,4.902151187671547E-6,
9.75,4.8358710122485805E-6,
9.875,4.771571130804169E-6,
10.0,4.709182242585297E-6,
10.125,4.648637106769534E-6,
10.25,4.589870507194774E-6,
10.375,4.532819214290291E-6,
10.5,4.477421944710372E-6,
10.625,4.423619319188706E-6,
10.75,4.3713538190131795E-6,
10.875,4.320569741504527E-6,
11.0,4.271213154834722E-6,
11.125,4.223231852457155E-6,
11.25,4.176575307439383E-6,
11.375,4.131194626873198E-6,
11.5,4.087042506590351E-6,
11.625,4.0440731863030894E-6,
11.75,4.00224240538798E-6,
11.875,3.961507359302459E-6,
12.0,3.9218266569063486E-6,
12.125,3.8831602785789585E-6,
12.25,3.845469535354267E-6,
12.375,3.8087170290505983E-6,
12.5,3.7728666134251617E-6,
12.625,3.737883356456927E-6,
12.75,3.7037335036708496E-6,
12.875,3.670384442601213E-6,
13.0,3.6378046684011164E-6,
13.125,3.6059637504917127E-6,
13.25,3.5748323003943323E-6,
13.375,3.5443819406050573E-6,
13.5,3.514585274558705E-6,
13.625,3.485415857676419E-6,
13.75,3.4568481694008395E-6,
13.875,3.428857586296228E-6,
14.0,3.401420356069031E-6,
14.125,3.3745135725932777E-6,
14.25,3.3481151518278864E-6,
14.375,3.322203808614923E-6,
14.5,3.2967590343911655E-6,
14.625,3.2717610756289056E-6,
