#GRM219R61E475KA73,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,3.181743529821263E-6,
0.125,3.2321525272191266E-6,
0.25,3.273320583109665E-6,
0.375,3.305729093230603E-6,
0.5,3.329897517113608E-6,
0.625,3.34636936280614E-6,
0.75,3.3557002183713503E-6,
0.875,3.3584477220647358E-6,
1.0,3.355163324297394E-6,
1.125,3.3463856718681063E-6,
1.25,3.33263543482356E-6,
1.375,3.3144113955186755E-6,
1.5,3.292187625343406E-6,
1.625,3.2664115849997384E-6,
1.75,3.2375029974422453E-6,
1.875,3.2058533573232983E-6,
2.0,3.1718259560282816E-6,
2.125,3.135756316439548E-6,
2.25,3.097952945945471E-6,
2.375,3.0586983295994476E-6,
2.5,3.018250097552612E-6,
2.625,2.9768423118512002E-6,
2.75,2.934686827395999E-6,
2.875,2.8919746903414283E-6,
3.0,2.8488775445434405E-6,
3.125,2.8055490229309945E-6,
3.25,2.7621261059835674E-6,
3.375,2.718730433945857E-6,
3.5,2.6754695631036373E-6,
3.625,2.6324381594816895E-6,
3.75,2.589719125791074E-6,
3.875,2.5473846594351563E-6,
4.0,2.505497240955205E-6,
4.125,2.4641105535192476E-6,
4.25,2.4232703349940663E-6,
4.375,2.3830151648378437E-6,
4.5,2.3433771885489796E-6,
4.625,2.3043827827522397E-6,
4.75,2.266053164212832E-6,
4.875,2.2284049461826975E-6,
5.0,2.191450645514922E-6,
5.125,2.1551991439495804E-6,
5.25,2.1196561068994122E-6,
5.375,2.0848243629496357E-6,
5.5,2.050704247150772E-6,
5.625,2.017293911029591E-6,
5.75,1.9845896020797174E-6,
5.875,1.952585915324951E-6,
6.0,1.921276019378416E-6,
6.125,1.8906518592528598E-6,
6.25,1.8607043380139507E-6,
6.375,1.831423479208739E-6,
6.5,1.8027985718522726E-6,
6.625,1.774818299611126E-6,
6.75,1.747470855686356E-6,
6.875,1.7207440447734398E-6,
7.0,1.6946253733562554E-6,
7.125,1.669102129483555E-6,
7.25,1.6441614530731223E-6,
7.375,1.6197903976953358E-6,
7.5,1.595975984699566E-6,
7.625,1.5727052504693981E-6,
7.75,1.5499652875155931E-6,
7.875,1.5277432800528156E-6,
8.0,1.506026534640095E-6,
8.125,1.4848025064149618E-6,
8.25,1.46405882139281E-6,
8.375,1.4437832952632482E-6,
8.5,1.423963949069169E-6,
8.625,1.4045890221173448E-6,
8.75,1.385646982432868E-6,
8.875,1.3671265350412463E-6,
9.0,1.349016628330807E-6,
9.125,1.331306458722287E-6,
9.25,1.3139854738514947E-6,
9.375,1.2970433744466102E-6,
9.5,1.28047011506498E-6,
9.625,1.2642559038362402E-6,
9.75,1.2483912013427162E-6,
9.875,1.2328667187545967E-6,
10.0,1.217673415324326E-6,
10.125,1.2028024953339086E-6,
10.25,1.1882454045783379E-6,
10.375,1.1739938264578217E-6,
10.5,1.1600396777462637E-6,
10.625,1.1463751040930032E-6,
10.75,1.1329924753092487E-6,
10.875,1.1198843804856901E-6,
11.0,1.107043622980922E-6,
11.125,1.094463215315224E-6,
11.25,1.0821363740026552E-6,
11.375,1.0700565143467814E-6,
11.5,1.0582172452251323E-6,
11.625,1.0466123638816176E-6,
11.75,1.0352358507466037E-6,
11.875,1.0240818642986326E-6,
12.0,1.0131447359812206E-6,
12.125,1.0024189651867955E-6,
12.25,9.918992143166913E-7,
