#GRM219R60J476ME44,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,3.3613722792903185E-5,
0.0315,3.369209537178189E-5,
0.063,3.3755742930633765E-5,
0.0945,3.380501738757814E-5,
0.126,3.384028113437486E-5,
0.1575,3.386190556949207E-5,
0.189,3.3870269694529776E-5,
0.2205,3.3865758775340616E-5,
0.252,3.384876306873183E-5,
0.2835,3.3819676615210545E-5,
0.315,3.3778896097839575E-5,
0.34650000000000003,3.3726819766940835E-5,
0.378,3.366384643004661E-5,
0.4095,3.3590374506241186E-5,
0.441,3.350680114377466E-5,
0.47250000000000003,3.341352139961971E-5,
0.504,3.3310927479450966E-5,
0.5355,3.319940803637415E-5,
0.567,3.307934752658533E-5,
0.5985,3.295112562003031E-5,
0.63,3.281511666406305E-5,
0.6615,3.26716891980033E-5,
0.6930000000000001,3.2521205516456774E-5,
0.7245,3.236402127923714E-5,
0.756,3.2200485165684933E-5,
0.7875,3.2030938571191046E-5,
0.819,3.18557153437335E-5,
0.8505,3.167514155825516E-5,
0.882,3.148953532672553E-5,
0.9135,3.129920664179119E-5,
0.9450000000000001,3.110445725193132E-5,
0.9765,3.090558056610393E-5,
1.008,3.070286158591947E-5,
1.0395,3.049657686343454E-5,
1.071,3.0286994482716203E-5,
1.1025,3.0074374063411394E-5,
1.134,2.985896678459636E-5,
1.1655,2.9641015427275732E-5,
1.197,2.942075443395893E-5,
1.2285,2.919840998380376E-5,
1.26,2.8974200081921623E-5,
1.2915,2.8748334661453307E-5,
1.323,2.8521015697169046E-5,
1.3545,2.829243732932804E-5,
1.3860000000000001,2.8062785996687197E-5,
1.4175,2.7832240577553396E-5,
1.449,2.7600972537857745E-5,
1.4805,2.7369146085314376E-5,
1.512,2.713691832874653E-5,
1.5435,2.690443944175912E-5,
1.575,2.6671852829969987E-5,
1.6065,2.64392953010845E-5,
1.638,2.6206897237127392E-5,
1.6695,2.597478276822716E-5,
1.701,2.5743069947366117E-5,
1.7325,2.551187092557617E-5,
1.764,2.5281292127091615E-5,
1.7955,2.5051434424022124E-5,
1.827,2.4822393310126533E-5,
1.8585,2.4594259073353206E-5,
1.8900000000000001,2.4367116966770185E-5,
1.9215,2.414104737763451E-5,
1.953,2.3916125994287983E-5,
1.9845,2.3692423970678392E-5,
2.016,2.3470008088269492E-5,
2.0475,2.3248940915167322E-5,
2.079,2.3029280962293405E-5,
2.1105,2.2811082836471625E-5,
2.142,2.2594397390297817E-5,
2.1735,2.2379271868715024E-5,
2.205,2.2165750052172276E-5,
2.2365,2.1953872396354617E-5,
2.268,2.1743676168377554E-5,
2.2995,2.1535195579450838E-5,
2.331,2.132846191396719E-5,
2.3625,2.1123503655003738E-5,
2.394,2.0920346606241863E-5,
2.4255,2.071901401030364E-5,
2.457,2.0519526663536903E-5,
2.4885,2.0321903027250054E-5,
2.52,2.012615933544302E-5,
2.5515,1.9932309699081008E-5,
2.583,1.9740366206921108E-5,
2.6145,1.9550339022992013E-5,
2.646,1.9362236480716206E-5,
2.6775,1.9176065173793477E-5,
2.709,1.8991830043862177E-5,
2.7405,1.880953446502573E-5,
2.7720000000000002,1.8629180325291033E-5,
2.8035,1.8450768105010254E-5,
2.835,1.827429695237177E-5,
2.8665,1.809976475602572E-5,
2.898,1.792716821490755E-5,
2.9295,1.7756502905343174E-5,
2.961,1.7587763345490926E-5,
2.9925,1.74209430572135E-5,
3.024,1.7256034625435727E-5,
3.0555,1.709302975507324E-5,
3.087,1.6931919325599768E-5,
3.1185,1.6772693443317025E-5,
3.15,1.6615341491415467E-5,
3.1815,1.6459852177888693E-5,
3.213,1.6306213581359077E-5,
3.2445,1.6154413194900433E-5,
3.276,1.6004437967921777E-5,
3.3075,1.585627434616459E-5,
3.339,1.5709908309896225E-5,
3.3705,1.5565325410358213E-5,
3.402,1.5422510804517542E-5,
3.4335,1.5281449288204898E-5,
3.465,1.5142125327682141E-5,
3.4965,1.5004523089702175E-5,
3.528,1.4868626470117295E-5,
3.5595,1.4734419121098589E-5,
3.591,1.4601884476998692E-5,
3.6225,1.4471005778942048E-5,
3.654,1.4341766098161692E-5,
3.6855,1.4214148358146026E-5,
3.717,1.4088135355653577E-5,
3.7485,1.3963709780617273E-5,
3.7800000000000002,1.3840854235004117E-5,
3.8115,1.3719551250663217E-5,
3.843,1.3599783306207447E-5,
3.8745,1.348153284296632E-5,
3.906,1.3364782280052676E-5,
3.9375,1.3249514028579933E-5,
3.969,1.3135710505066029E-5,
4.0005,1.3023354144058863E-5,
4.032,1.291242741001441E-5,
4.0635,1.2802912808466646E-5,
4.095,1.2694792896519943E-5,
4.1265,1.258805029268811E-5,
4.158,1.2482667686115184E-5,
4.1895,1.237862784520009E-5,
4.221,1.2275913625661799E-5,
4.2525,1.217450797806899E-5,
4.284,1.2074393954841082E-5,
4.3155,1.1975554716779943E-5,
4.347,1.187797353911807E-5,
4.3785,1.178163381713181E-5,
4.41,1.16865190713336E-5,
4.4415000000000004,1.1592612952248081E-5,
4.473,1.1499899244824996E-5,
4.5045,1.1408361872479124E-5,
4.536,1.1317984900777132E-5,
4.5675,1.1228752540806547E-5,
4.599,1.1140649152236551E-5,
4.6305,1.1053659246066715E-5,
4.662,1.096776748711126E-5,
4.6935,1.088295869620804E-5,
4.725,1.0799217852180791E-5,
4.7565,1.0716530093561825E-5,
4.788,1.063488072008284E-5,
4.8195,1.0554255193962713E-5,
4.851,1.047463914098501E-5,
4.8825,1.0396018351387518E-5,
4.914,1.0318378780574802E-5,
4.9455,1.0241706549652687E-5,
4.977,1.0165987945812891E-5,
5.0085,1.0091209422559445E-5,
5.04,1.0017357599794774E-5,
5.0715,9.944419263774563E-6,
5.103,9.872381366936018E-6,
5.1345,9.80123102760471E-6,
5.166,9.730955529596834E-6,
5.1975,9.661542321715001E-6,
5.229,9.592979017145728E-6,
5.2605,9.525253392772606E-6,
5.292,9.458353388393292E-6,
5.3235,9.39226710587231E-6,
5.355,9.326982808209763E-6,
5.3865,9.26248891854553E-6,
5.418,9.198774019101138E-6,
5.4495000000000005,9.135826850064103E-6,
5.481,9.073636308411126E-6,
5.5125,9.012191446695143E-6,
5.5440000000000005,8.951481471772722E-6,
5.5755,8.891495743493267E-6,
5.607,8.832223773360711E-6,
5.6385,8.773655223143585E-6,
5.67,8.715779903462877E-6,
5.7015,8.65858777235261E-6,
5.733,8.602068933792432E-6,
5.7645,8.546213636209134E-6,
5.796,8.491012270976848E-6,
5.8275,8.4364553708778E-6,
5.859,8.382533608566457E-6,
5.8905,8.329237795006336E-6,
5.922,8.276558877902572E-6,
5.9535,8.224487940123347E-6,
5.985,8.173016198116487E-6,
6.0165,8.122135000312845E-6,
6.048,8.071835825538367E-6,
6.0795,8.022110281409678E-6,
6.111,7.972950102738594E-6,
6.1425,7.924347149930014E-6,
6.174,7.876293407390645E-6,
6.2055,7.828780981927954E-6,
6.237,7.781802101164095E-6,
6.2685,7.735349111947067E-6,
6.3,7.689414478777147E-6,
