#GRM31CR60J107MEA8,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,8.225335782434486E-5,
0.0315,8.226226082477052E-5,
0.063,8.225657590550538E-5,
0.0945,8.223654059290432E-5,
0.126,8.220239770310035E-5,
0.1575,8.215439492786656E-5,
0.189,8.209278442779706E-5,
0.2205,8.201782243327025E-5,
0.252,8.19297688536045E-5,
0.2835,8.18288868947918E-5,
0.315,8.171544268615072E-5,
0.34650000000000003,8.1589704916201E-5,
0.378,8.145194447804066E-5,
0.4095,8.130243412444881E-5,
0.441,8.11414481329332E-5,
0.47250000000000003,8.096926198088766E-5,
0.504,8.078615203100117E-5,
0.5355,8.059239522703857E-5,
0.567,8.03882688000688E-5,
0.5985,8.017404998521182E-5,
0.63,7.995001574893408E-5,
0.6615,7.971644252688418E-5,
0.6930000000000001,7.947360597230184E-5,
0.7245,7.922178071490208E-5,
0.756,7.89612401302487E-5,
0.7875,7.869225611947515E-5,
0.819,7.841509889933604E-5,
0.8505,7.813003680240167E-5,
0.882,7.783733608734847E-5,
0.9135,7.753726075915068E-5,
0.9450000000000001,7.723007239905117E-5,
0.9765,7.69160300041523E-5,
1.008,7.659538983643532E-5,
1.0395,7.626840528104093E-5,
1.071,7.5935326713617E-5,
1.1025,7.559640137651294E-5,
1.134,7.525187326366375E-5,
1.1655,7.49019830138821E-5,
1.197,7.454696781240155E-5,
1.2285,7.418706130041917E-5,
1.26,7.382249349240505E-5,
1.2915,7.345349070096607E-5,
1.323,7.308027546901996E-5,
1.3545,7.270306650905839E-5,
1.3860000000000001,7.232207864925458E-5,
1.4175,7.193752278616387E-5,
1.449,7.15496058438359E-5,
1.4805,7.115853073903463E-5,
1.512,7.076449635237839E-5,
1.5435,7.036769750516742E-5,
1.575,6.996832494163684E-5,
1.6065,6.956656531643696E-5,
1.638,6.916260118711452E-5,
1.6695,6.875661101135164E-5,
1.701,6.834876914875424E-5,
1.7325,6.793924586699076E-5,
1.764,6.752820735204937E-5,
1.7955,6.7115815722406E-5,
1.827,6.670222904691598E-5,
1.8585,6.628760136620665E-5,
1.8900000000000001,6.587208271741391E-5,
1.9215,6.545581916202397E-5,
1.953,6.503895281667268E-5,
1.9845,6.4621621886713E-5,
2.016,6.420396070237855E-5,
2.0475,6.378609975734383E-5,
2.079,6.336816574955652E-5,
2.1105,6.295028162417777E-5,
2.142,6.253256661844203E-5,
2.1735,6.21151363082995E-5,
2.205,6.169810265675279E-5,
2.2365,6.128157406363124E-5,
2.268,6.086565541680203E-5,
2.2995,6.0450448144575274E-5,
2.331,6.00360502692561E-5,
2.3625,5.9622556461682145E-5,
2.394,5.921005809665003E-5,
2.4255,5.879864330911124E-5,
2.457,5.838839705102566E-5,
2.4885,5.7979401148807695E-5,
2.52,5.757173436122259E-5,
2.5515,5.7165472437658614E-5,
2.583,5.6760688176717636E-5,
2.6145,5.6357451484970296E-5,
2.646,5.595582943587814E-5,
2.6775,5.555588632876003E-5,
2.709,5.51576837477151E-5,
2.7405,5.476128062050965E-5,
2.7720000000000002,5.436673327726538E-5,
2.8035,5.397409550897324E-5,
2.835,5.358341862572509E-5,
2.8665,5.3194751514631476E-5,
2.898,5.2808140697381676E-5,
2.9295,5.242363038736847E-5,
2.961,5.204126254638103E-5,
2.9925,5.1661076940755496E-5,
3.024,5.128311119705687E-5,
3.0555,5.090740085711335E-5,
3.087,5.0533979432503646E-5,
3.1185,5.016287845839472E-5,
3.15,4.979412754669227E-5,
3.1815,4.942775443854888E-5,
3.213,4.906378505611977E-5,
3.2445,4.870224355362816E-5,
3.276,4.834315236765329E-5,
3.3075,4.79865322666768E-5,
3.339,4.763240239981545E-5,
3.3705,4.7280780344807036E-5,
3.402,4.6931682155149826E-5,
3.4335,4.6585122406466265E-5,
3.465,4.624111424201013E-5,
3.4965,4.589966941737844E-5,
3.528,4.556079834435757E-5,
3.5595,4.5224510133972316E-5,
3.591,4.48908126386484E-5,
3.6225,4.455971249357253E-5,
3.654,4.4231215157207145E-5,
3.6855,4.390532495092956E-5,
3.717,4.3582045097878615E-5,
3.7485,4.3261377760933027E-5,
3.7800000000000002,4.2943324079878234E-5,
3.8115,4.2627884207727744E-5,
3.843,4.231505734622815E-5,
3.8745,4.200484178054664E-5,
3.906,4.169723491316081E-5,
3.9375,4.1392233296912726E-5,
3.969,4.108983266729532E-5,
4.0005,4.079002797393935E-5,
4.032,4.0492813411320285E-5,
4.0635,4.019818244870511E-5,
4.095,3.990612785932146E-5,
4.1265,3.9616641748774064E-5,
4.158,3.9329715582747045E-5,
4.1895,3.904534021395366E-5,
4.221,3.8763505908357966E-5,
4.2525,3.8484202370722704E-5,
4.284,3.820741876940849E-5,
4.3155,3.793314376053793E-5,
4.347,3.7661365511451744E-5,
4.3785,3.739207172350707E-5,
4.41,3.712524965423391E-5,
4.4415000000000004,3.6860886138850384E-5,
4.473,3.659896761114116E-5,
4.5045,3.6339480123715185E-5,
4.536,3.6082409367694654E-5,
4.5675,3.5827740691751905E-5,
4.599,3.5575459120633205E-5,
4.6305,3.532554937306398E-5,
4.662,3.5077995879121684E-5,
4.6935,3.483278279705873E-5,
4.725,3.4589894029594026E-5,
4.7565,3.434931323967691E-5,
4.788,3.4111023865762284E-5,
4.8195,3.387500913656718E-5,
4.851,3.3641252085344696E-5,
4.8825,3.340973556369258E-5,
4.914,3.318044225489551E-5,
4.9455,3.2953354686822624E-5,
4.977,3.2728455244346434E-5,
5.0085,3.250572618139709E-5,
