#GRT31CR61A226KE01,,
#Not Recommended for New Design,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.7547833223484607E-5,
0.05,1.7572488259192243E-5,
0.1,1.7593644465426594E-5,
0.15000000000000002,1.761135932853218E-5,
0.2,1.7625691510730572E-5,
0.25,1.7636700738412356E-5,
0.30000000000000004,1.7644447693574255E-5,
0.35000000000000003,1.764899390849538E-5,
0.4,1.765040166367385E-5,
0.45,1.764873388908249E-5,
0.5,1.764405406876223E-5,
0.55,1.7636426148767745E-5,
0.6000000000000001,1.762591444849774E-5,
0.65,1.7612583575388737E-5,
0.7000000000000001,1.759649834294938E-5,
0.75,1.7577723692174622E-5,
0.8,1.75563246162546E-5,
0.8500000000000001,1.7532366088596104E-5,
0.9,1.750591299408543E-5,
0.9500000000000001,1.7477030063584013E-5,
1.0,1.7445781811592407E-5,
1.05,1.74122324770219E-5,
1.1,1.7376445967054668E-5,
1.1500000000000001,1.7338485803989554E-5,
1.2000000000000002,1.729841507507241E-5,
1.25,1.725629638513621E-5,
1.3,1.7212191812148773E-5,
1.35,1.7166162865432012E-5,
1.4000000000000001,1.7118270446582983E-5,
1.4500000000000002,1.706857481300234E-5,
1.5,1.701713554393987E-5,
1.55,1.6964011508983588E-5,
1.6,1.690926083894506E-5,
1.6500000000000001,1.685294089904365E-5,
1.7000000000000002,1.679510826425329E-5,
1.75,1.6735818696928913E-5,
1.8,1.6675127126324538E-5,
1.85,1.6613087630289803E-5,
1.9000000000000001,1.654975341870234E-5,
1.9500000000000002,1.648517681890432E-5,
2.0,1.641940926279989E-5,
2.0500000000000003,1.635250127569073E-5,
2.1,1.6284502466731175E-5,
2.15,1.6215461520899903E-5,
2.2,1.6145426192543986E-5,
2.25,1.6074443300207044E-5,
2.3000000000000003,1.6002558722898226E-5,
2.35,1.5929817397622745E-5,
2.4000000000000004,1.5856263318091715E-5,
2.45,1.5781939534617905E-5,
2.5,1.5706888155121024E-5,
2.5500000000000003,1.5631150347074112E-5,
2.6,1.5554766340538015E-5,
2.6500000000000004,1.5477775432064118E-5,
2.7,1.540021598941074E-5,
2.75,1.5322125457192917E-5,
2.8000000000000003,1.5243540363129135E-5,
2.85,1.5164496325121612E-5,
2.9000000000000004,1.508502805904138E-5,
2.95,1.5005169386862597E-5,
3.0,1.4924953245770265E-5,
3.0500000000000003,1.4844411697413015E-5,
3.1,1.4763575937917965E-5,
3.1500000000000004,1.468247630819388E-5,
3.2,1.4601142304714795E-5,
3.25,1.4519602590690662E-5,
3.3000000000000003,1.4437885007508952E-5,
3.35,1.4356016586524368E-5,
3.4000000000000004,1.4274023561188063E-5,
3.45,1.419193137925928E-5,
3.5,1.410976471541179E-5,
3.5500000000000003,1.4027547483901699E-5,
3.6,1.3945302851416648E-5,
3.6500000000000004,1.3863053250173904E-5,
3.7,1.3780820390949241E-5,
3.75,1.3698625276300238E-5,
3.8000000000000003,1.3616488213936048E-5,
3.85,1.3534428829918555E-5,
3.9000000000000004,1.345246608209253E-5,
3.95,1.3370618273486501E-5,
4.0,1.3288903065591547E-5,
4.05,1.3207337491789712E-5,
4.1000000000000005,1.3125937970578995E-5,
4.15,1.3044720318969611E-5,
4.2,1.2963699765485077E-5,
4.25,1.2882890963463981E-5,
4.3,1.2802308003970407E-5,
4.3500000000000005,1.2721964428814291E-5,
4.4,1.2641873243370753E-5,
4.45,1.2562046929179424E-5,
4.5,1.2482497456730893E-5,
4.55,1.2403236297729625E-5,
4.6000000000000005,1.2324274437526694E-5,
4.65,1.224562238731037E-5,
4.7,1.2167290196001136E-5,
4.75,1.2089287462237537E-5,
4.800000000000001,1.2011623346033916E-5,
4.8500000000000005,1.193430658023722E-5,
4.9,1.1857345482053176E-5,
4.95,1.178074796406572E-5,
5.0,1.1704521545379927E-5,
5.050000000000001,1.1628673362372522E-5,
5.1000000000000005,1.155321017935923E-5,
5.15,1.1478138399106045E-5,
5.2,1.1403464073055668E-5,
5.25,1.1329192911461834E-5,
5.300000000000001,1.1255330293278506E-5,
5.3500000000000005,1.1181881275899155E-5,
5.4,1.1108850604714573E-5,
5.45,1.1036242722355452E-5,
5.5,1.0964061778050032E-5,
5.550000000000001,1.0892311636341671E-5,
5.6000000000000005,1.0820995886110509E-5,
5.65,1.0750117849044358E-5,
5.7,1.067968058809592E-5,
5.75,1.0609686915708233E-5,
5.800000000000001,1.0540139401866682E-5,
5.8500000000000005,1.04710403819562E-5,
5.9,1.0402391964540006E-5,
5.95,1.033419603871025E-5,
6.0,1.0266454281614733E-5,
6.050000000000001,1.0199168165467108E-5,
6.1000000000000005,1.0132338964646696E-5,
6.15,1.0065967762493031E-5,
6.2,1.0000055457944581E-5,
6.25,9.934602772064582E-6,
6.300000000000001,9.869610254371048E-6,
6.3500000000000005,9.805078288964147E-6,
6.4,9.741007100628442E-6,
6.45,9.677396760602136E-6,
6.5,9.614247192380925E-6,
6.550000000000001,9.551558177175188E-6,
6.6000000000000005,9.48932935939434E-6,
6.65,9.427560251866444E-6,
6.7,9.366250241031349E-6,
6.75,9.305398591855853E-6,
6.800000000000001,9.245004452687746E-6,
6.8500000000000005,9.18506686000427E-6,
6.9,9.125584742989235E-6,
6.95,9.06655692796185E-6,
7.0,9.00798214272655E-6,
7.050000000000001,8.949859020759651E-6,
7.1000000000000005,8.89218610531145E-6,
7.15,8.834961853322654E-6,
7.2,8.778184639335134E-6,
7.25,8.721852759220778E-6,
7.300000000000001,8.665964433697536E-6,
7.3500000000000005,8.610517811981997E-6,
7.4,8.555510975139903E-6,
7.45,8.500941939359056E-6,
7.5,8.446808659216499E-6,
7.550000000000001,8.393109030744484E-6,
7.6000000000000005,8.339840894380544E-6,
7.65,8.287002038030215E-6,
7.7,8.234590199726654E-6,
7.75,8.182603070494109E-6,
7.800000000000001,8.131038296884978E-6,
7.8500000000000005,8.079893483609066E-6,
7.9,8.029166195988577E-6,
7.95,7.978853962336692E-6,
8.0,7.928954276277982E-6,
8.05,7.879464599036414E-6,
8.1,7.830382361502245E-6,
8.15,7.781704966444442E-6,
8.200000000000001,7.733429790375136E-6,
8.25,7.685554185707443E-6,
8.3,7.638075482385013E-6,
8.35,7.590990989934697E-6,
8.4,7.5442979991015355E-6,
8.450000000000001,7.497993783514531E-6,
8.5,7.452075601427704E-6,
8.55,7.406540697152139E-6,
8.6,7.361386302723036E-6,
8.65,7.316609639254588E-6,
8.700000000000001,7.272207918360432E-6,
8.75,7.22817834358313E-6,
8.8,7.18451811158318E-6,
8.85,7.14122441344082E-6,
8.9,7.0982944359537E-6,
8.950000000000001,7.0557253626490936E-6,
9.0,7.013514375006527E-6,
9.05,6.9716586534508E-6,
9.1,6.9301553784580024E-6,
9.15,6.889001731488008E-6,
9.200000000000001,6.848194895957932E-6,
9.25,6.80773205815456E-6,
9.3,6.7676104080593625E-6,
9.35,6.727827140258297E-6,
9.4,6.68837945469431E-6,
9.450000000000001,6.649264557428665E-6,
9.5,6.6104796613826135E-6,
9.55,6.572021987087349E-6,
9.600000000000001,6.533888763222558E-6,
9.65,6.496077227441542E-6,
9.700000000000001,6.458584626781169E-6,
9.75,6.421408218432823E-6,
9.8,6.384545270144263E-6,
9.850000000000001,6.347993060838471E-6,
9.9,6.311748881063869E-6,
9.950000000000001,6.275810033512332E-6,
10.0,6.240173833471384E-6,
