#GRT31CR61E226KE01,,
#Not Recommended for New Design,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,1.7940514503669755E-5,
0.125,1.799684261234295E-5,
0.25,1.803137067492244E-5,
0.375,1.804505564716371E-5,
0.5,1.8038888556367508E-5,
0.625,1.8013884562767128E-5,
0.75,1.7971073854230316E-5,
0.875,1.791149337910764E-5,
1.0,1.783617940931054E-5,
1.125,1.774616091487305E-5,
1.25,1.7642453722596022E-5,
1.375,1.7526055424485945E-5,
1.5,1.7397940996406527E-5,
1.625,1.725905908357791E-5,
1.75,1.7110328907230055E-5,
1.875,1.695263774493611E-5,
2.0,1.678683893728364E-5,
2.125,1.6613750373159562E-5,
2.25,1.6434153407603168E-5,
2.375,1.6248792167198447E-5,
2.5,1.6058373200022373E-5,
2.625,1.5863565429380472E-5,
2.75,1.566500037303356E-5,
2.875,1.546327259192021E-5,
3.0,1.5258940335379087E-5,
3.125,1.5052526352046122E-5,
3.25,1.4844518838781134E-5,
3.375,1.4635372501884937E-5,
3.5,1.4425509708026833E-5,
3.625,1.4215321704016957E-5,
3.75,1.4005169887350856E-5,
3.875,1.3795387111196731E-5,
4.0,1.3586279009481248E-5,
4.125,1.3378125329951664E-5,
4.25,1.317118126412904E-5,
4.375,1.2965678765158104E-5,
4.5,1.276182784577613E-5,
4.625,1.2559817849579272E-5,
4.75,1.2359818690608475E-5,
4.875,1.2161982056661953E-5,
5.0,1.1966442572657716E-5,
5.125,1.1773318921917237E-5,
5.25,1.1582714922942061E-5,
5.375,1.1394720560613582E-5,
5.5,1.1209412970997987E-5,
5.625,1.1026857379334563E-5,
5.75,1.084710799142533E-5,
5.875,1.0670208838791957E-5,
6.0,1.0496194578261238E-5,
6.125,1.0325091246934623E-5,
6.25,1.0156916973765808E-5,
6.375,9.991682648927755E-6,
6.5,9.829392552348673E-6,
6.625,9.670044943015081E-6,
6.75,9.513632610560382E-6,
6.875,9.360143390687968E-6,
7.0,9.209560646160058E-6,
7.125,9.061863714865934E-6,
