#GRM31CR71H475KA12,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,4.5229670752449855E-6,
0.25,4.5398379795612186E-6,
0.5,4.5519621685945136E-6,
0.75,4.560131880669866E-6,
1.0,4.5650066855030486E-6,
1.25,4.567133353222282E-6,
1.5,4.566963256498838E-6,
1.75,4.5648674454686105E-6,
2.0,4.5611495996100665E-6,
2.25,4.556057086216529E-6,
2.5,4.549790356996765E-6,
2.75,4.542510902773156E-6,
3.0,4.534347967715557E-6,
3.25,4.525404203116195E-6,
3.5,4.515760418833294E-6,
3.75,4.50547956961596E-6,
4.0,4.494610094309674E-6,
4.25,4.4831887087467085E-6,
4.5,4.471242738016795E-6,
4.75,4.4587920607074275E-6,
5.0,4.445850726445037E-6,
5.25,4.432428298463738E-6,
5.5,4.418530964778846E-6,
5.75,4.404162454654123E-6,
6.0,4.389324791245147E-6,
6.25,4.374018906417999E-6,
6.5,4.358245139637984E-6,
6.75,4.342003639380357E-6,
7.0,4.3252946826231315E-6,
7.25,4.308118925556944E-6,
7.5,4.290477596609153E-6,
7.75,4.2723726411693356E-6,
8.0,4.253806825961757E-6,
8.25,4.234783809801112E-6,
8.5,4.215308186443685E-6,
8.75,4.195385504385168E-6,
9.0,4.175022267725533E-6,
9.25,4.154225921604072E-6,
9.5,4.133004825182602E-6,
9.75,4.11136821470902E-6,
10.0,4.0893261588134E-6,
10.25,4.06688950786427E-6,
10.5,4.044069838935951E-6,
10.75,4.020879397699494E-6,
11.0,3.997331038346855E-6,
11.25,3.973438162481848E-6,
11.5,3.949214657761189E-6,
11.75,3.924674836939136E-6,
12.0,3.899833377857073E-6,
12.25,3.874705264821574E-6,
12.5,3.849305731733745E-6,
12.75,3.823650207256917E-6,
13.0,3.7977542622503484E-6,
13.25,3.7716335596417006E-6,
13.5,3.7453038068643484E-6,
13.75,3.718780710947278E-6,
14.0,3.6920799363089805E-6,
14.25,3.6652170652798983E-6,
14.5,3.6382075613513513E-6,
14.75,3.61106673512839E-6,
15.0,3.5838097129469565E-6,
15.25,3.5564514080990686E-6,
15.5,3.529006494600224E-6,
15.75,3.501489383420096E-6,
16.0,3.4739142010929268E-6,
16.25,3.446294770614223E-6,
16.5,3.41864459452903E-6,
16.75,3.3909768401114103E-6,
17.0,3.363304326532588E-6,
17.25,3.335639513915916E-6,
17.5,3.3079944941737693E-6,
17.75,3.2803809835242127E-6,
18.0,3.2528103165843385E-6,
18.25,3.2252934419409775E-6,
18.5,3.197840919098907E-6,
18.75,3.1704629167113913E-6,
19.0,3.14316921199965E-6,
19.25,3.1159691912700634E-6,
19.5,3.0888718514436083E-6,
19.75,3.061885802511952E-6,
20.0,3.035019270841297E-6,
20.25,3.0082801032464434E-6,
20.5,2.9816757717623848E-6,
20.75,2.9552133790438293E-6,
21.0,2.928899664326219E-6,
21.25,2.902741009886833E-6,
21.5,2.876743447946343E-6,
21.75,2.8509126679557937E-6,
22.0,2.8252540242168713E-6,
22.25,2.799772543787061E-6,
22.5,2.774472934623741E-6,
22.75,2.7493595939252918E-6,
23.0,2.724436616629057E-6,
23.25,2.699707804030488E-6,
23.5,2.6751766724891136E-6,
23.75,2.650846462189965E-6,
24.0,2.6267201459320936E-6,
24.25,2.602800437917905E-6,
24.5,2.5790898025190877E-6,
24.75,2.555590462997077E-6,
25.0,2.532304410158829E-6,
25.25,2.509233410929101E-6,
25.5,2.4863790168237367E-6,
25.75,2.463742572309561E-6,
26.0,2.4413252230373325E-6,
26.25,2.419127923937324E-6,
26.5,2.397151447166938E-6,
26.75,2.3753963899019885E-6,
27.0,2.3538631819641634E-6,
27.25,2.332552093278389E-6,
27.5,2.3114632411546853E-6,
27.75,2.290596597390424E-6,
28.0,2.2699519951893897E-6,
28.25,2.2495291358954457E-6,
28.5,2.2293275955381986E-6,
28.75,2.2093468311903346E-6,
29.0,2.189586187135856E-6,
29.25,2.1700449008487484E-6,
29.5,2.150722108783775E-6,
29.75,2.1316168519791217E-6,
30.0,2.11272808147341E-6,
30.25,2.094054663538565E-6,
30.5,2.075595384730645E-6,
30.75,2.057348956761146E-6,
31.0,2.0393140211917065E-6,
31.25,2.0214891539552477E-6,
31.5,2.0038728697063286E-6,
31.75,1.986463626004753E-6,
32.0,1.969259827335253E-6,
32.25,1.9522598289674585E-6,
32.5,1.935461940659608E-6,
32.75,1.918864430210173E-6,
33.0,1.9024655268604492E-6,
