#GRM31CR61A476ME15,,
#In Production,,
#2025/05/05,,
#c_dcbias_capacitance,,
#capacitance  25.0degC  AC0.01Vrms,,
DC Bias[V],Capacitance[F],
0.0,3.676799970300729E-5,
0.05,3.686140157516594E-5,
0.1,3.693336819708917E-5,
0.15000000000000002,3.6984682598562537E-5,
0.2,3.701613356121769E-5,
0.25,3.702851217060874E-5,
0.30000000000000004,3.702260867404234E-5,
0.35000000000000003,3.6999209632529966E-5,
0.4,3.695909535418516E-5,
0.45,3.690303759561466E-5,
0.5,3.683179751731661E-5,
0.55,3.674612387877422E-5,
0.6000000000000001,3.664675145878959E-5,
0.65,3.6534399686615096E-5,
0.7000000000000001,3.6409771469585734E-5,
0.75,3.62735522032154E-5,
0.8,3.61264089500685E-5,
0.8500000000000001,3.596898977414158E-5,
0.9,3.580192321798465E-5,
0.9500000000000001,3.562581791030172E-5,
1.0,3.5441262292362676E-5,
1.05,3.524882445211551E-5,
1.1,3.504905205550832E-5,
1.1500000000000001,3.484247236513745E-5,
1.2000000000000002,3.4629592336922326E-5,
1.25,3.4410898786138984E-5,
1.3,3.41868586147036E-5,
1.35,3.395791909218534E-5,
1.4000000000000001,3.3724508183586864E-5,
1.4500000000000002,3.348703491744432E-5,
1.5,3.324588978834148E-5,
1.55,3.300144518839328E-5,
1.6,3.275405586273268E-5,
1.6500000000000001,3.250405938448436E-5,
1.7000000000000002,3.225177664509084E-5,
1.75,3.1997512356285984E-5,
1.8,3.1741555560343145E-5,
1.85,3.148418014558886E-5,
1.9000000000000001,3.122564536447609E-5,
1.9500000000000002,3.0966196351809826E-5,
2.0,3.070606464099749E-5,
2.0500000000000003,3.0445468676438358E-5,
2.1,3.018461432040131E-5,
2.15,2.992369535296543E-5,
2.2,2.9662893963767414E-5,
2.25,2.9402381234506485E-5,
2.3000000000000003,2.9142317611308046E-5,
2.35,2.8882853366181988E-5,
2.4000000000000004,2.862412904697721E-5,
2.45,2.836627591532041E-5,
2.5,2.8109416372160655E-5,
2.5500000000000003,2.7853664370631892E-5,
2.6,2.7599125816025083E-5,
2.6500000000000004,2.7345898952759244E-5,
2.7,2.7094074738277804E-5,
2.75,2.6843737203906444E-5,
2.8000000000000003,2.6594963802703984E-5,
2.85,2.6347825744441625E-5,
2.9000000000000004,2.6102388317838353E-5,
2.95,2.5858711200257166E-5,
3.0,2.5616848755067778E-5,
3.0500000000000003,2.53768503169148E-5,
3.1,2.513876046516412E-5,
3.1500000000000004,2.490261928580581E-5,
3.2,2.466846262209541E-5,
3.25,2.4436322314269612E-5,
3.3000000000000003,2.420622642862071E-5,
3.35,2.397819947626659E-5,
3.4000000000000004,2.3752262621951E-5,
3.45,2.3528433883178252E-5,
3.5,2.330672832003554E-5,
3.5500000000000003,2.3087158216009543E-5,
3.6,2.286973325014026E-5,
3.6500000000000004,2.2654460660823273E-5,
3.7,2.244134540157345E-5,
3.75,2.223039028908374E-5,
3.8000000000000003,2.2021596143854443E-5,
3.85,2.1814961923720624E-5,
3.9000000000000004,2.161048485055434E-5,
3.95,2.1408160530432777E-5,
4.0,2.1207983067549378E-5,
4.05,2.1009945172139114E-5,
4.1000000000000005,2.081403826267685E-5,
4.15,2.0620252562605557E-5,
4.2,2.0428577191836764E-5,
4.25,2.023900025326865E-5,
4.3,2.0051508914538296E-5,
4.3500000000000005,1.9866089485233536E-5,
4.4,1.9682727489789413E-5,
4.45,1.95014077362502E-5,
4.5,1.9322114381119985E-5,
4.55,1.9144830990466016E-5,
4.6000000000000005,1.8969540597473983E-5,
4.65,1.8796225756632014E-5,
4.7,1.8624868594678177E-5,
4.75,1.8455450858526987E-5,
4.800000000000001,1.8287953960268154E-5,
4.8500000000000005,1.812235901943113E-5,
4.9,1.7958646902627775E-5,
4.95,1.7796798260716416E-5,
5.0,1.763679356362095E-5,
5.050000000000001,1.7478613132913745E-5,
5.1000000000000005,1.7322237172290682E-5,
5.15,1.716764579604567E-5,
5.2,1.7014819055644532E-5,
5.25,1.6863736964515906E-5,
5.300000000000001,1.671437952113282E-5,
5.3500000000000005,1.656672673049352E-5,
5.4,1.642075862409069E-5,
5.45,1.627645527843106E-5,
5.5,1.6133796832215265E-5,
5.550000000000001,1.5992763502221036E-5,
5.6000000000000005,1.585333559799057E-5,
5.65,1.5715493535368743E-5,
5.7,1.5579217848963662E-5,
5.75,1.544448920360273E-5,
5.800000000000001,1.5311288404818026E-5,
5.8500000000000005,1.5179596408435172E-5,
5.9,1.5049394329322196E-5,
5.95,1.4920663449321142E-5,
6.0,1.4793385224447213E-5,
6.050000000000001,1.4667541291362985E-5,
6.1000000000000005,1.4543113473204038E-5,
6.15,1.4420083784770526E-5,
6.2,1.429843443713042E-5,
6.25,1.4178147841688702E-5,
6.300000000000001,1.4059206613721453E-5,
6.3500000000000005,1.3941593575436542E-5,
6.4,1.3825291758589052E-5,
6.45,1.3710284406656198E-5,
6.5,1.359655497663559E-5,
6.550000000000001,1.3484087140457756E-5,
6.6000000000000005,1.3372864786064792E-5,
6.65,1.3262872018164786E-5,
6.7,1.315409315868029E-5,
6.75,1.3046512746932808E-5,
6.800000000000001,1.2940115539548682E-5,
6.8500000000000005,1.283488651014067E-5,
6.9,1.273081084876255E-5,
6.95,1.2627873961148327E-5,
7.0,1.2526061467775624E-5,
7.050000000000001,1.2425359202740376E-5,
7.1000000000000005,1.2325753212478074E-5,
7.15,1.2227229754329931E-5,
7.2,1.2129775294976586E-5,
7.25,1.2033376508745688E-5,
7.300000000000001,1.193802027580292E-5,
7.3500000000000005,1.1843693680243118E-5,
7.4,1.175038400808975E-5,
7.45,1.165807874519699E-5,
7.5,1.1566765575093785E-5,
7.550000000000001,1.147643237674194E-5,
7.6000000000000005,1.1387067222249212E-5,
7.65,1.1298658374519325E-5,
7.7,1.1211194284851794E-5,
7.75,1.1124663590518646E-5,
7.800000000000001,1.1039055112285653E-5,
7.8500000000000005,1.0954357851914883E-5,
7.9,1.087056098964932E-5,
7.95,1.078765388165875E-5,
8.0,1.0705626057496485E-5,
8.05,1.0624467217523485E-5,
8.1,1.054416723033594E-5,
8.15,1.0464716130195451E-5,
8.200000000000001,1.0386104114441855E-5,
8.25,1.0308321540931737E-5,
8.3,1.02313589254675E-5,
8.35,1.0155206939239348E-5,
8.4,1.0079856406287798E-5,
8.450000000000001,1.0005298300962414E-5,
8.5,9.931523745418551E-6,
8.55,9.858524007117292E-6,
8.6,9.786290496345373E-6,
8.65,9.714814763772235E-6,
8.700000000000001,9.644088498007575E-6,
8.75,9.574103523204232E-6,
8.8,9.504851796676664E-6,
8.85,9.436325406546041E-6,
8.9,9.368516569420344E-6,
8.950000000000001,9.301417628097396E-6,
9.0,9.23502104929894E-6,
9.05,9.169319421441784E-6,
9.1,9.1043054524294E-6,
9.15,9.039971967486052E-6,
9.200000000000001,8.976311907018315E-6,
9.25,8.913318324509548E-6,
9.3,8.850984384449366E-6,
9.35,8.789303360298011E-6,
9.4,8.728268632482336E-6,
9.450000000000001,8.667873686421746E-6,
9.5,8.608112110603286E-6,
9.55,8.548977594672335E-6,
9.600000000000001,8.490463927572055E-6,
9.65,8.43256499570979E-6,
9.700000000000001,8.375274781159857E-6,
9.75,8.318587359902886E-6,
9.8,8.262496900096288E-6,
9.850000000000001,8.206997660378847E-6,
9.9,8.152083988216673E-6,
9.950000000000001,8.097750318266281E-6,
10.0,8.043991170793362E-6,
